angelina-std-02
Date:,2012/07/12
Time:,14:34:29
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:RANK,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,108.364418,-154.499374,564.944153,206.060059,-117.309189,537.211426,171.741669,-143.297073,600.856323,-5.848255,-74.863106,538.661865,28.755352,-127.665909,605.220154,99.732231,-165.330444,672.988098,191.511093,-138.239563,271.066101,0.879032,-110.959457,271.431122,97.476257,-179.670120,741.676514,218.553726,-113.911377,820.680725,94.245644,-156.666534,849.066528,91.765732,-168.256653,903.756104,181.395462,-130.409195,931.711792,199.941238,-114.594604,44.939293,26.379446,-94.107132,945.865234,3.216835,-95.599854,38.986488,162.127731,-138.077454,14.023137,35.150497,-129.940002,14.899137,239.404129,-44.762608,17.535078,-22.995262,-92.580559,811.027710,-13.563480,-18.854362,16.342833
12,108.622108,-154.401489,564.951843,206.246872,-117.213692,537.118774,171.966187,-143.204605,600.782593,-5.680433,-74.791542,538.719177,28.980190,-127.566040,605.267029,99.953995,-165.194794,672.955383,191.519012,-138.606506,271.002289,1.074636,-110.865250,271.426941,97.762100,-179.512924,741.605408,218.707306,-113.839005,820.731079,94.382004,-156.570816,849.021973,91.849953,-168.124908,903.773499,181.402344,-130.267410,931.766052,199.979187,-114.668861,44.932438,26.341650,-93.937286,945.735413,3.228110,-95.603569,39.011002,162.167755,-138.107224,14.022361,35.169785,-129.938812,14.909179,239.405930,-44.765263,17.497383,-22.790117,-92.451630,810.869324,-13.593755,-18.817425,16.353157
13,108.881744,-154.307617,564.989868,206.428558,-117.157249,537.022888,172.156158,-143.043747,600.723816,-5.465254,-74.720482,538.786682,29.253967,-127.452644,605.295288,100.204208,-165.061768,672.919922,191.647873,-139.135315,270.976074,1.271260,-110.739197,271.418671,98.095413,-179.362259,741.524536,218.900787,-113.776855,820.808228,94.502296,-156.485382,848.982666,91.921692,-168.016724,903.789307,181.437988,-130.123886,931.806396,199.985016,-114.684349,44.929657,26.252323,-93.744362,945.607910,3.246714,-95.618805,39.007442,162.171921,-138.123840,14.037616,35.173607,-129.952286,14.903089,239.421661,-44.758358,17.467148,-22.612516,-92.347046,810.685608,-13.676743,-18.770088,16.378105
14,109.062775,-154.164490,565.064270,206.613876,-117.117226,536.927551,172.359070,-142.869354,600.682617,-5.180620,-74.680084,538.849182,29.550438,-127.306274,605.319397,100.486435,-164.909271,672.875122,191.745728,-139.637802,270.918945,1.418402,-110.573753,271.389191,98.435913,-179.237045,741.435547,219.112015,-113.757805,820.958130,94.594330,-156.402954,848.930054,91.970001,-167.927994,903.790466,181.469864,-130.006454,931.828186,200.051727,-114.766876,44.940857,26.177540,-93.572342,945.486389,3.260831,-95.603119,39.011257,162.145889,-138.119965,14.034001,35.201828,-129.952011,14.893113,239.465073,-44.756138,17.438396,-22.462694,-92.246719,810.506653,-13.679369,-18.769377,16.363567
15,109.302078,-154.004837,565.149475,206.810638,-117.034752,536.812317,172.620743,-142.704697,600.638367,-4.841870,-74.620277,538.904053,29.805796,-127.055763,605.422729,100.823555,-164.720276,672.821594,191.769241,-140.011566,270.820038,1.554353,-110.449562,271.370605,98.737801,-179.112656,741.324158,219.344208,-113.786469,821.141235,94.662712,-156.335434,848.868408,92.004967,-167.850815,903.783325,181.459747,-129.907547,931.851685,200.114182,-114.858231,44.956966,26.099737,-93.407791,945.384949,3.266766,-95.572495,39.032600,162.173096,-138.142960,14.011327,35.224274,-129.943451,14.898114,239.498077,-44.753059,17.408186,-22.299549,-92.172539,810.320862,-13.625782,-18.748384,16.327257
16,109.601326,-153.827591,565.209351,206.997208,-116.928833,536.684753,172.961426,-142.543060,600.578735,-4.546605,-74.511375,538.983276,30.094913,-126.722801,605.544189,101.237518,-164.520752,672.764771,191.713562,-140.242798,270.712341,1.698981,-110.392525,271.378906,98.994446,-178.980560,741.195862,219.523163,-113.733307,821.300049,94.733192,-156.288391,848.794128,92.008575,-167.767960,903.799316,181.443604,-129.815872,931.873779,200.062653,-114.795593,44.913670,26.047647,-93.260712,945.303650,3.280884,-95.577728,39.062088,162.195770,-138.148605,13.996112,35.222015,-129.947708,14.907351,239.532684,-44.739433,17.401735,-22.127525,-92.100258,810.067993,-13.652782,-18.729187,16.331402
17,109.879936,-153.674545,565.270813,207.171585,-116.824295,536.567322,173.334137,-142.353973,600.500671,-4.286234,-74.365250,539.071289,30.463501,-126.390923,605.641052,101.687698,-164.298721,672.693909,191.602386,-140.411087,270.599548,1.860784,-110.356277,271.391998,99.211525,-178.854340,741.066040,219.659195,-113.625793,821.451721,94.814240,-156.239410,848.709656,91.950790,-167.670120,903.817932,181.412369,-129.750519,931.890930,199.970490,-114.685387,44.846745,26.031464,-93.137222,945.223755,3.264976,-95.532776,39.086437,162.172577,-138.111938,13.981791,35.242252,-129.958374,14.913620,239.579575,-44.724209,17.398901,-21.957117,-92.026489,809.777222,-13.713280,-18.752260,16.331400
18,110.109238,-153.532623,565.353699,207.392883,-116.686234,536.425110,173.715973,-142.156433,600.438538,-3.985208,-74.200775,539.167358,30.898808,-126.178749,605.748169,102.106873,-164.027267,672.593628,191.544540,-140.673309,270.512756,2.019118,-110.291573,271.404114,99.407059,-178.710510,740.946838,219.799271,-113.563126,821.610901,94.832527,-156.167007,848.630615,91.884766,-167.572769,903.782288,181.342056,-129.718124,931.914063,199.930573,-114.685509,44.824757,26.001596,-93.005249,945.129333,3.249343,-95.484528,39.104214,162.174088,-138.108139,13.965264,35.257740,-129.962265,14.926109,239.588455,-44.695080,17.371370,-21.766548,-91.968979,809.477661,-13.839401,-18.743719,16.307333
19,110.324112,-153.335602,565.425171,207.653778,-116.522697,536.254883,174.091232,-141.940613,600.394592,-3.672433,-74.027435,539.283386,31.273335,-126.023460,605.829468,102.485695,-163.777740,672.467285,191.564209,-141.028671,270.481049,2.102270,-110.204544,271.435608,99.615593,-178.538010,740.826965,219.898102,-113.495857,821.767212,94.824654,-156.090668,848.545532,91.829926,-167.482941,903.720703,181.273239,-129.700897,931.938293,199.933960,-114.743927,44.817810,25.943020,-92.891678,945.016602,3.302608,-95.545013,39.111332,162.204208,-138.137100,13.959618,35.256023,-129.960175,14.946626,239.580231,-44.681137,17.324049,-21.560259,-91.883064,809.165405,-13.990126,-18.697937,16.282196
20,110.610954,-153.154770,565.464294,207.911972,-116.375992,536.124695,174.422775,-141.688034,600.318726,-3.412065,-73.857178,539.380310,31.155781,-125.418488,605.836670,102.830170,-163.616104,672.354553,191.596008,-141.406311,270.462250,2.155595,-110.153069,271.466431,99.886116,-178.362305,740.696228,220.010513,-113.453033,821.937927,94.884659,-156.030029,848.452087,91.698158,-167.341934,903.656982,181.210190,-129.677032,931.960876,199.949768,-114.777069,44.784935,25.895369,-92.814789,944.884216,3.379874,-95.638168,39.113350,162.213226,-138.157730,13.962976,35.283669,-129.955948,14.970129,239.581909,-44.685875,17.280113,-21.385618,-91.815811,808.853638,-14.084818,-18.682133,16.254192
