angelina-ank-01
Date:,2012/07/12
Time:,14:57:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LTRO,,,Patient1:L5,,,Patient1:RTRO,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:LASI,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:C7,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:LTOE,,,Patient1:BALAVG,,,Patient1:BHD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,24.484148,-7.186611,613.942627,139.316101,-70.275879,655.145569,236.058060,-28.976393,623.246948,15.195375,-27.141975,351.087677,238.935852,-30.088881,352.951141,58.359699,-42.459957,691.803711,203.245422,-44.929531,693.840332,131.588058,-60.294453,761.073975,131.554092,-70.727264,826.522217,249.755219,-46.867363,126.495201,-9.205779,-42.908672,119.952545,213.020447,-72.324318,95.783401,30.556791,-66.850639,95.536301,137.799896,-54.447937,919.147095,291.715027,21.261681,96.636459,8.418779,-3.102719,908.490112,243.547455,13.477021,911.969971,-56.752090,19.686602,93.457359,350.218506,-163.094620,90.639023,132.157455,-58.364319,984.261963,-136.099899,-161.683502,88.042747,357.770294,165.455673,84.214165,-135.886429,165.609360,82.558304,209.682007,-2.501602,1015.381958,51.247036,-4.201926,1027.303101
12,24.408234,-7.139413,613.914734,139.316681,-70.291122,655.119934,236.044235,-28.953571,623.241577,15.143407,-26.995615,351.096619,238.770233,-29.850897,352.902466,58.332603,-42.496410,691.788025,203.232224,-44.926529,693.809998,131.565414,-60.309048,761.071472,131.580154,-70.757454,826.521240,249.773682,-46.803448,126.496605,-9.150028,-42.926750,119.942909,213.010132,-72.300278,95.783852,30.546551,-66.801987,95.549492,137.832291,-54.502396,919.173950,291.703583,21.275017,96.649300,8.396461,-3.131545,908.530457,243.516693,13.474698,911.937622,-56.772980,19.687254,93.468536,350.185211,-163.045837,90.651718,132.219681,-58.415375,984.322144,-136.122635,-161.661163,88.059105,357.767975,165.475067,84.180214,-135.878922,165.608078,82.527489,209.727081,-2.529984,1015.344543,51.274605,-4.155008,1027.345215
13,24.301395,-7.103971,613.880615,139.291840,-70.296768,655.092590,236.003082,-28.924589,623.224304,15.145773,-26.909933,351.088440,238.661438,-29.656910,352.869598,58.298367,-42.541348,691.766418,203.216324,-44.937412,693.780029,131.525986,-60.311703,761.062500,131.554947,-70.739861,826.499084,249.756210,-46.772552,126.510590,-9.189277,-42.847443,119.954979,212.994751,-72.294456,95.787903,30.545095,-66.785576,95.555756,137.843430,-54.530891,919.187012,291.703583,21.275017,96.649300,8.430939,-3.186150,908.565552,243.492783,13.461374,911.888672,-56.781898,19.686981,93.469948,350.089569,-162.954865,90.620148,132.279709,-58.491226,984.359680,-136.113754,-161.657349,88.062347,357.727600,165.457291,84.178368,-135.800629,165.570587,82.552605,209.758194,-2.532837,1015.302429,51.361202,-4.167519,1027.388672
14,24.196005,-7.069367,613.851135,139.234695,-70.262260,655.061340,235.953934,-28.888332,623.190002,15.166219,-26.831060,351.097260,238.604950,-29.483974,352.843048,58.267422,-42.582432,691.742065,203.177429,-44.957516,693.740051,131.501053,-60.319798,761.053467,131.507416,-70.703720,826.468140,249.738922,-46.770927,126.509293,-9.223496,-42.793182,119.958366,212.995529,-72.322975,95.799843,30.572245,-66.827393,95.559914,137.827133,-54.533592,919.184998,291.712708,21.293907,96.645882,8.486155,-3.247283,908.568848,243.492554,13.466552,911.833008,-56.755825,19.697296,93.462837,350.045898,-162.923553,90.597229,132.280853,-58.499542,984.366211,-136.137360,-161.636185,88.031319,357.731232,165.430893,84.204865,-135.772644,165.542160,82.595619,209.799896,-2.543362,1015.255066,51.392654,-4.142173,1027.398804
15,24.109156,-7.039283,613.803040,139.224625,-70.255562,655.024475,235.924118,-28.870396,623.134705,15.141952,-26.747257,351.107269,238.601898,-29.404419,352.827332,58.226276,-42.631260,691.721313,203.155823,-44.970402,693.670898,131.501892,-60.322063,761.038757,131.489883,-70.712700,826.449707,249.730316,-46.813160,126.493645,-9.184032,-42.842281,119.954933,213.009064,-72.346519,95.793991,30.642622,-66.901955,95.558578,137.814392,-54.531094,919.157959,291.713196,21.293154,96.637909,8.514320,-3.277531,908.574097,243.528320,13.497082,911.767090,-56.717968,19.706003,93.465202,350.095917,-162.984268,90.568810,132.299988,-58.513100,984.363892,-136.175446,-161.621613,87.976318,357.779510,165.417496,84.259544,-135.776566,165.535263,82.608192,209.853546,-2.592006,1015.199036,51.408752,-4.128102,1027.396851
16,24.065536,-7.057419,613.775330,139.281189,-70.313828,655.000244,235.883621,-28.846333,623.064514,15.104303,-26.687860,351.074707,238.627762,-29.425804,352.813965,58.131413,-42.627903,691.689758,203.159729,-44.986134,693.596069,131.511719,-60.312027,761.013672,131.513153,-70.764748,826.443726,249.703537,-46.886127,126.488487,-9.194873,-42.877747,119.946037,213.005539,-72.355812,95.759232,30.665890,-66.932663,95.544167,137.856323,-54.548309,919.137756,291.712311,21.254324,96.640266,8.520157,-3.273340,908.593384,243.568695,13.521115,911.688293,-56.721771,19.673006,93.496307,350.172882,-163.077682,90.523857,132.304779,-58.544098,984.363098,-136.166992,-161.665680,87.904221,357.809082,165.393600,84.317871,-135.771896,165.508224,82.640137,209.894592,-2.654867,1015.155884,51.450130,-4.129812,1027.406006
17,23.990978,-7.032931,613.757629,139.299515,-70.346931,654.984802,235.827606,-28.793987,623.013733,15.063157,-26.628984,351.033875,238.609802,-29.424221,352.784851,58.056969,-42.603378,691.653198,203.155518,-45.008274,693.539978,131.507980,-60.312241,760.989502,131.544296,-70.787827,826.434387,249.694275,-46.929447,126.474098,-9.235746,-42.879040,119.912346,212.998077,-72.399704,95.724617,30.627562,-66.921036,95.524155,137.900772,-54.549862,919.118286,291.699127,21.185831,96.683205,8.524069,-3.267784,908.614685,243.583618,13.553197,911.608765,-56.738651,19.622145,93.522972,350.155518,-163.112183,90.455856,132.302872,-58.575279,984.350098,-136.118942,-161.760849,87.833084,357.802032,165.352142,84.377754,-135.768661,165.448578,82.707916,209.923630,-2.704480,1015.133240,51.530708,-4.154625,1027.400513
18,23.891113,-7.018072,613.726135,139.255020,-70.318550,654.960632,235.776398,-28.734951,622.968445,14.997913,-26.595154,351.030182,238.582153,-29.402958,352.758087,58.090778,-42.644272,691.641113,203.146194,-45.008080,693.496765,131.499680,-60.300484,760.970032,131.561676,-70.779968,826.417358,249.711014,-46.965641,126.448555,-9.207242,-42.956169,119.879478,213.011719,-72.486687,95.702888,30.606707,-66.939117,95.499092,137.904633,-54.515549,919.071228,291.654907,21.114336,96.730644,8.521477,-3.249061,908.638794,243.588211,13.596635,911.533875,-56.725960,19.596458,93.527206,350.136566,-163.166214,90.363747,132.353897,-58.660873,984.329468,-136.063965,-161.864975,87.746140,357.801666,165.299072,84.443977,-135.767990,165.395142,82.788963,209.952271,-2.754998,1015.099060,51.621956,-4.248341,1027.381592
19,23.861019,-7.087054,613.720886,139.251587,-70.307816,654.948303,235.738174,-28.686342,622.915344,14.935637,-26.602652,351.029083,238.563065,-29.405905,352.731873,58.086720,-42.663143,691.639221,203.139587,-44.989780,693.448059,131.480377,-60.232738,760.929260,131.568665,-70.751091,826.381409,249.719116,-47.049271,126.446945,-9.225230,-43.037785,119.859810,213.079895,-72.636826,95.663734,30.608126,-66.978844,95.461533,137.929565,-54.485092,919.025330,291.626221,21.043886,96.746140,8.530751,-3.214403,908.636780,243.603806,13.627260,911.440735,-56.707531,19.564016,93.538185,350.216431,-163.308426,90.251404,132.362900,-58.715858,984.314209,-136.030472,-161.963654,87.605186,357.813019,165.235367,84.532982,-135.781921,165.351913,82.896942,209.980011,-2.806814,1015.050293,51.707752,-4.355008,1027.389526
20,23.889412,-7.213068,613.735107,139.271835,-70.309181,654.945496,235.725616,-28.641418,622.871338,14.926641,-26.672958,350.994324,238.537125,-29.427511,352.705200,58.032578,-42.651604,691.642517,203.136749,-44.982800,693.386353,131.435852,-60.154945,760.868896,131.576157,-70.705559,826.342651,249.712463,-47.152073,126.443260,-9.317954,-43.076141,119.836357,213.178497,-72.810287,95.598526,30.651533,-67.064873,95.415245,137.950668,-54.485435,919.001953,291.610901,20.964792,96.765190,8.557627,-3.190282,908.596802,243.636642,13.638123,911.322021,-56.683540,19.459425,93.571228,350.271912,-163.417206,90.128685,132.308762,-58.698090,984.305481,-136.014008,-162.052155,87.463089,357.792114,165.174408,84.657829,-135.807297,165.285492,83.029686,210.026337,-2.875005,1015.003479,51.773926,-4.391850,1027.405396
