arthur-std-02
Date:,2012/07/09
Time:,14:33:53
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-39.693433,273.113440,575.799795,-141.233848,244.824726,514.079213,20.221421,368.902256,519.442644,12.658931,357.870290,571.555418,-130.182549,254.627411,589.664838,-20.859402,266.477898,670.545356,54.394429,346.720841,279.291127,-148.025139,199.056437,284.277250,-14.524483,255.088918,741.299896,-141.636477,223.294556,809.303467,39.669747,367.971667,816.155596,-24.448870,270.098729,839.580701,12.489084,257.645675,911.493887,84.580132,344.550759,39.355986,-169.231979,181.879380,45.947347,23.361899,352.784566,945.070361,-88.182634,238.072697,957.063488,54.398679,301.922659,16.953063,-124.186566,184.922001,18.256837,106.826585,413.406309,11.564111,-249.167438,205.859945,17.680959
12,-39.666552,273.104051,575.799204,-141.187030,244.832660,514.072673,20.247270,368.891826,519.454019,12.648955,357.879474,571.552773,-130.144392,254.613727,589.659586,-20.812237,266.464401,670.546461,54.420638,346.710932,279.298683,-148.010449,199.099899,284.266893,-14.468306,255.054929,741.280019,-141.603363,223.254652,809.284015,39.710163,367.931850,816.174076,-24.406082,270.065153,839.586406,12.485798,257.613079,911.517389,84.575361,344.560079,39.352892,-169.251281,181.921850,45.923203,23.362498,352.754208,945.083491,-88.199027,238.032416,957.102415,54.420478,301.919433,16.973110,-124.187279,184.919736,18.259583,106.790472,413.404923,11.553665,-249.186133,205.849874,17.665397
13,-39.633178,273.093797,575.796188,-141.128147,244.842707,514.065324,20.286415,368.904133,519.449441,12.691167,357.877548,571.568920,-130.105956,254.609239,589.644094,-20.779837,266.470729,670.561111,54.437398,346.742279,279.303284,-148.035444,199.103089,284.257470,-14.431540,255.039625,741.271613,-141.581100,223.213598,809.290231,39.725787,367.909193,816.197480,-24.397717,270.045526,839.588338,12.482791,257.555218,911.541597,84.571128,344.572258,39.358462,-169.339766,181.890954,45.921440,23.313375,352.712160,945.083029,-88.208556,238.013606,957.123967,54.435616,301.922862,16.975175,-124.148376,184.914925,18.256329,106.795347,413.411663,11.548710,-249.167752,205.815000,17.685137
14,-39.592705,273.090310,575.785466,-141.093497,244.849341,514.065736,20.337200,368.916927,519.451710,12.764959,357.882641,571.604069,-130.067232,254.611470,589.622448,-20.739502,266.464756,670.578073,54.453794,346.804515,279.303166,-148.011048,199.101706,284.261757,-14.414793,255.015799,741.275419,-141.535418,223.165273,809.278026,39.752745,367.877582,816.236521,-24.397715,269.992255,839.593304,12.485775,257.510583,911.557051,84.571398,344.573688,39.362795,-169.319219,181.859259,45.933496,23.266410,352.684893,945.090871,-88.208556,238.013606,957.123967,54.440455,301.926457,16.979449,-124.119115,184.927657,18.247487,106.821405,413.423577,11.570555,-249.157113,205.818353,17.685319
15,-39.536626,273.098017,575.786679,-141.044275,244.856268,514.046406,20.366230,368.922411,519.482243,12.823339,357.880497,571.633799,-130.027119,254.611434,589.595272,-20.682420,266.426391,670.583359,54.452618,346.834111,279.293077,-147.947242,199.133585,284.265556,-14.386636,254.966365,741.283335,-141.500590,223.107398,809.261971,39.779349,367.807313,816.265045,-24.380348,269.923059,839.601011,12.478517,257.482886,911.575715,84.594288,344.582601,39.366246,-169.226254,181.875096,45.952125,23.259699,352.678008,945.105764,-88.208556,238.013606,957.123967,54.445010,301.938942,16.977837,-124.147154,184.928029,18.245582,106.856162,413.424744,11.591451,-249.164854,205.856582,17.665761
16,-39.489982,273.105548,575.777965,-140.981413,244.865276,514.021042,20.367353,368.953359,519.499587,12.850777,357.871569,571.639025,-129.988690,254.604478,589.583864,-20.640393,266.391480,670.579749,54.501160,346.837669,279.298517,-147.905898,199.146173,284.263708,-14.350497,254.924652,741.290412,-141.487562,223.038894,809.265916,39.804351,367.736384,816.274578,-24.341479,269.876655,839.607994,12.488216,257.445751,911.604122,84.637193,344.601829,39.372503,-169.131877,181.925810,45.961887,23.276669,352.653909,945.114183,-88.208556,238.013606,957.123967,54.435872,301.953343,16.973349,-124.157097,184.917921,18.259254,106.889639,413.424381,11.606897,-249.161305,205.883255,17.675160
17,-39.477638,273.101078,575.766656,-140.945198,244.871872,514.016227,20.382157,368.974248,519.488927,12.857305,357.879843,571.639177,-129.928896,254.593315,589.590302,-20.606734,266.354555,670.559667,54.591571,346.834213,279.325578,-147.879923,199.135569,284.264412,-14.314506,254.910707,741.297909,-141.467083,222.995514,809.256771,39.838239,367.688040,816.292495,-24.296676,269.830538,839.615221,12.515026,257.406765,911.632626,84.641771,344.617935,39.370672,-169.118504,181.933347,45.982356,23.359708,352.602084,945.124577,-88.208556,238.013606,957.123967,54.410777,301.970520,16.965689,-124.145471,184.934143,18.263868,106.858592,413.429117,11.618259,-249.163878,205.886620,17.690358
18,-39.458298,273.090706,575.772825,-140.906545,244.858545,514.013595,20.414484,368.977907,519.483348,12.889354,357.878476,571.661063,-129.884989,254.598106,589.581856,-20.573264,266.329887,670.532177,54.633875,346.834551,279.346164,-147.853175,199.141194,284.272437,-14.283033,254.903790,741.307802,-141.440752,222.977808,809.220569,39.871267,367.639806,816.315725,-24.275826,269.812119,839.605708,12.517892,257.376032,911.650143,84.623624,344.621672,39.370309,-169.175332,181.897965,46.011084,23.419034,352.566629,945.131802,-88.193389,237.996871,957.125268,54.407744,301.998314,16.955578,-124.149818,184.939989,18.267543,106.730524,413.442765,11.604688,-249.179358,205.858274,17.688371
19,-39.401464,273.097676,575.766010,-140.844517,244.849591,514.010767,20.455252,369.001152,519.498124,12.948241,357.873850,571.676580,-129.854708,254.609487,589.555591,-20.525940,266.335651,670.522537,54.644651,346.865003,279.349385,-147.830480,199.168757,284.285681,-14.271267,254.898168,741.296950,-141.419294,222.970957,809.192150,39.903554,367.614451,816.326922,-24.256143,269.806275,839.590341,12.504147,257.334450,911.660798,84.618203,344.617561,39.378853,-169.246825,181.864235,46.017706,23.413540,352.535021,945.133830,-88.174659,237.961812,957.127294,54.414414,302.025020,16.951482,-124.125703,184.932518,18.270413,106.684457,413.450587,11.589750,-249.185492,205.834964,17.694169
20,-39.336173,273.105736,575.737406,-140.784314,244.876939,514.004358,20.512269,369.016038,519.516900,13.030530,357.883409,571.683240,-129.817062,254.602578,589.524699,-20.456044,266.334254,670.524532,54.670473,346.885973,279.352217,-147.793431,199.184017,284.303288,-14.242328,254.885889,741.269311,-141.384440,222.965872,809.174005,39.935830,367.612504,816.330519,-24.226794,269.765604,839.599324,12.506731,257.303637,911.684432,84.627363,344.637708,39.367562,-169.306847,181.873118,46.016898,23.438618,352.488027,945.144271,-88.171095,237.943487,957.128018,54.422409,302.035927,16.959478,-124.111793,184.939729,18.263016,106.759800,413.462588,11.615608,-249.179360,205.858275,17.688381
