bleuenn-std-01
Date:,2012/11/24
Time:,11:01:05
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:RTRO,,,Patient1:RANK,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-1.205866,54.353477,604.468750,52.251236,80.518494,635.025085,-46.961632,72.906601,647.406860,-117.938644,113.671173,584.430542,14.016212,44.157104,748.332520,106.477753,90.269287,307.742004,-126.729950,77.713264,314.657135,-112.638893,74.070084,912.495178,16.214331,49.470322,933.968506,18.175308,59.931858,983.226685,-72.991203,109.937431,1013.316345,-146.572418,63.545204,39.716816,69.054939,45.006683,21.034723,-101.482574,54.133766,13.569988,-200.567688,134.373291,13.374630,87.070374,124.243851,1018.545715,16.936468,28.662186,801.367798,138.660568,99.521080,907.807495,,,,,,,,,
12,-1.178943,54.488899,604.464050,52.264847,80.700104,635.014343,-47.276272,73.834732,647.455322,-117.958244,113.718803,584.464050,14.032372,44.320000,748.342712,106.467438,90.338615,307.742645,-126.795052,77.819771,314.659912,-112.594040,73.999870,912.538635,16.294653,49.600075,933.960022,18.171753,60.012951,983.180359,-73.012283,110.049034,1013.291992,-146.560501,63.522064,39.715981,69.063805,44.989025,21.038538,-101.476440,54.119804,13.578376,-200.587662,134.354019,13.382780,87.032944,124.339043,1018.557861,17.004763,28.799206,801.372559,138.703186,99.852448,907.608154,,,,,,,,,
13,-1.183667,54.632290,604.464417,52.241653,80.882874,634.995178,-47.462685,74.520180,647.484009,-117.966934,113.773666,584.510864,14.037675,44.480392,748.318542,106.451889,90.394295,307.756042,-126.870148,77.928528,314.683472,-112.584991,73.990463,912.575256,16.343582,49.718067,933.951599,18.174459,60.108543,983.135803,-73.016769,110.125969,1013.257019,-146.543335,63.508049,39.715176,69.032219,45.028961,21.017464,-101.434029,54.087509,13.589366,-200.587326,134.355591,13.355921,87.016129,124.404785,1018.567993,17.041412,28.915703,801.362122,138.750763,100.135834,907.407043,,,,,,,,,
14,-1.230741,54.782539,604.457275,52.197964,81.022079,634.975037,-47.541504,74.830238,647.479858,-117.987396,113.901123,584.515198,14.041024,44.575466,748.305847,106.413307,90.477722,307.768066,-126.937195,78.060593,314.699921,-112.609634,74.086929,912.595032,16.359489,49.845016,933.948486,18.178513,60.233032,983.105042,-73.015846,110.227142,1013.238708,-146.546158,63.494411,39.716396,69.015053,45.058735,21.021271,-101.414726,54.027485,13.601385,-200.574341,134.384476,13.323398,87.041534,124.443321,1018.553467,17.040388,29.007639,801.355408,138.769424,100.328796,907.254700,,,,,,,,,
15,-1.304097,54.935928,604.431274,52.145882,81.136452,634.951904,-47.426025,74.491180,647.453857,-118.042740,114.094719,584.507385,13.986635,44.662441,748.311401,106.348885,90.565544,307.759979,-127.005859,78.249588,314.688843,-112.622887,74.217926,912.596924,16.349159,49.978775,933.936096,18.188490,60.356876,983.086853,-73.008514,110.322067,1013.238525,-146.552246,63.481960,39.746304,69.007271,45.056595,21.034143,-101.405319,54.001492,13.600355,-200.583603,134.413879,13.307204,87.060593,124.545418,1018.527893,16.994806,29.117544,801.360901,138.763596,100.467186,907.149353,,,,,,,,,
16,-1.393736,55.065163,604.406616,52.095188,81.213234,634.933228,-47.080215,73.558952,647.415894,-118.101746,114.310913,584.521240,13.894363,44.777470,748.312439,106.276291,90.603188,307.747467,-127.079651,78.452011,314.684845,-112.659737,74.333351,912.583130,16.317734,50.120991,933.921997,18.241341,60.451885,983.065857,-72.980751,110.372345,1013.240784,-146.554749,63.486069,39.777561,68.990005,45.067440,21.028606,-101.401024,54.033100,13.602221,-200.593201,134.424652,13.301948,87.055466,124.703484,1018.505859,16.929626,29.249895,801.356995,138.773468,100.546356,907.061157,,,,,,,,,
17,-1.519035,55.193504,604.381714,52.044525,81.236786,634.933838,-46.937160,73.179642,647.407959,-118.133110,114.564758,584.520508,13.799473,44.899071,748.313110,106.207794,90.579643,307.752228,-127.144363,78.643211,314.701202,-112.712418,74.454544,912.558167,16.293861,50.234486,933.914490,18.327068,60.532856,983.043762,-72.939125,110.429466,1013.238647,-146.558594,63.502785,39.791431,68.976425,45.099079,21.028166,-101.384964,54.049706,13.620292,-200.596878,134.423462,13.302394,87.082848,124.847626,1018.484131,16.852953,29.382505,801.349182,138.786194,100.564125,906.994507,,,,,,,,,
18,-1.666707,55.336563,604.353638,51.970619,81.257195,634.936890,-47.014538,73.364090,647.428223,-118.174156,114.832909,584.525879,13.679301,45.032059,748.306396,106.141350,90.531509,307.756042,-127.190498,78.834785,314.721924,-112.731323,74.620293,912.520447,16.260117,50.339905,933.891846,18.391701,60.637890,983.049683,-72.905365,110.502739,1013.244507,-146.554993,63.527287,39.813564,68.958405,45.110870,21.035912,-101.386879,54.046120,13.646650,-200.596924,134.428085,13.315352,87.119270,125.019524,1018.458130,16.749212,29.509035,801.347168,138.759094,100.567467,906.950623,,,,,,,,,
19,-1.807061,55.474598,604.339478,51.863861,81.324226,634.926819,-47.096954,73.537468,647.433411,-118.219711,115.078033,584.550110,13.556231,45.183971,748.285461,106.073929,90.458008,307.751495,-127.235931,79.021591,314.736542,-112.720848,74.834686,912.499207,16.165951,50.496857,933.856018,18.421988,60.769028,983.072632,-72.853142,110.598213,1013.266602,-146.550247,63.538548,39.828209,68.936783,45.112831,21.037563,-101.431595,54.060295,13.664430,-200.592422,134.432877,13.322719,87.125900,125.201065,1018.441650,16.654963,29.623356,801.342163,138.711945,100.546593,906.904968,,,,,,,,,
20,-1.927525,55.584225,604.333435,51.758358,81.389656,634.921082,-47.206478,73.734596,647.428772,-118.249664,115.372383,584.557251,13.429023,45.331791,748.274963,106.005684,90.352730,307.729828,-127.292191,79.220100,314.756500,-112.669167,75.052124,912.534851,16.058851,50.674164,933.830383,18.444296,60.906273,983.074219,-72.801399,110.711136,1013.294250,-146.557632,63.550068,39.827816,68.922218,45.133442,21.031496,-101.466400,54.083374,13.669394,-200.597260,134.409454,13.326288,87.170868,125.278526,1018.439880,16.563854,29.728832,801.352844,138.720535,100.455872,906.825623,,,,,,,,,
