arthur-ank-02
Date:,2012/07/09
Time:,14:55:41
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:L5,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:LTOE,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BALAVG,,,Patient1:BALAVD,,,Patient1:BALARG,,,Patient1:BALARD,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:LASI
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,25.318558,76.009918,589.855713,150.709793,234.566528,597.343323,125.103317,136.609543,652.128296,12.453646,52.579475,356.420685,143.016449,223.167572,345.418671,145.569672,225.440277,656.978577,119.460419,129.200745,760.736755,112.107140,121.848961,832.596069,165.813950,172.565292,109.068642,12.104533,39.893200,116.196793,135.032608,238.896606,104.493065,-21.359108,73.267036,880.924133,-63.146774,75.050087,101.406059,162.372604,118.818207,81.202721,57.141682,37.530308,80.873932,123.886246,248.070221,904.617310,74.421371,138.533035,925.864319,-226.628738,156.009445,121.407463,166.928772,442.301422,118.681419,-43.530796,-107.420883,52.615986,355.432434,183.403275,50.639400,81.835052,143.254593,1015.037170,86.215225,244.194901,1020.659729,-28.143152,131.890472,1033.602173,,,
12,25.367973,76.392288,589.976074,150.423508,235.301147,597.462219,125.015800,137.292725,652.199341,12.407519,52.934471,356.537903,142.900742,223.561905,345.538879,145.397232,226.165939,657.079834,119.610817,129.727554,760.684937,112.469704,122.078407,832.540955,165.570526,172.894089,109.212631,11.927734,40.105061,116.369858,134.823929,239.229965,104.415306,-20.997093,73.098763,880.777039,-63.247330,75.272842,101.395332,162.240250,119.103134,81.429459,56.951969,37.744724,81.134285,123.867668,248.068222,904.973083,74.596725,138.382507,925.922424,-226.852539,156.365524,120.840538,166.627609,442.656738,118.118713,-43.654812,-107.313255,53.078197,355.289520,183.590607,51.170464,81.931473,142.888733,1015.149231,86.729073,243.709793,1020.890137,-28.077223,131.850159,1033.730835,,,
13,25.430340,76.776390,590.111206,150.212494,236.023773,597.600586,124.904663,137.945007,652.264221,12.326287,53.327621,356.679230,142.767349,223.969910,345.704498,145.220871,226.842529,657.219849,119.759315,130.251617,760.684509,112.749710,122.348030,832.487366,165.348297,173.248932,109.316833,11.725042,40.351360,116.569511,134.600906,239.562500,104.364151,-20.684025,72.944733,880.649170,-63.572205,75.650055,101.372482,162.065292,119.383789,81.733421,56.798691,37.956432,81.437134,124.363228,247.921478,905.313599,74.824219,138.243454,926.002930,-227.044098,156.739914,120.244858,166.345718,443.021942,117.496376,-43.764355,-107.102768,53.597477,355.180573,183.791122,51.763016,82.211357,142.451874,1015.270874,87.258842,243.227020,1021.173157,-27.940723,131.799835,1033.893188,,,
14,25.491173,77.162148,590.244568,150.012512,236.705353,597.723572,124.901985,138.535568,652.358154,12.237982,53.742516,356.887451,142.568726,224.432556,345.889679,145.045944,227.465363,657.381287,119.875328,130.734528,760.708984,112.945305,122.652344,832.445435,165.124008,173.643082,109.417053,11.488982,40.655743,116.779823,134.332504,239.906693,104.338913,-20.388147,72.798279,880.556396,-64.073624,76.124435,101.318588,161.918304,119.688217,82.125710,56.537518,38.200962,81.752197,124.713882,247.815750,905.618347,75.048012,138.110886,926.093384,-227.313019,157.108810,119.572968,166.075714,443.449219,116.783829,-43.932144,-106.865570,54.234707,355.073883,183.975372,52.386047,82.471237,141.987106,1015.418640,87.769745,242.770248,1021.462219,-27.841427,131.787338,1034.070435,,,
15,25.586660,77.536087,590.402893,149.749786,237.368896,597.866577,124.943634,139.065933,652.486938,12.288025,54.093063,357.135773,142.326538,224.918060,346.063568,144.798248,228.027939,657.516541,119.966812,131.141235,760.741577,113.197083,122.926537,832.449951,164.894836,174.041122,109.545692,11.189301,40.977104,117.034828,134.025177,240.267746,104.287590,-20.096752,72.660240,880.503906,-64.428856,76.528748,101.271019,161.807388,120.021271,82.536888,56.293297,38.489086,82.086586,124.774078,247.837097,905.929138,75.248062,137.988708,926.213318,-227.730896,157.521454,118.794983,165.736191,443.870636,115.998718,-44.142857,-106.639404,54.955379,354.924988,184.186356,52.999260,82.588188,141.543427,1015.572937,88.275871,242.331207,1021.749634,-27.767714,131.766769,1034.264282,,,
16,25.675049,77.961754,590.600281,149.547607,238.030136,598.086975,124.895042,139.609390,652.623230,12.299741,54.441265,357.354004,142.128204,225.404907,346.222961,144.528763,228.584335,657.659546,120.032883,131.515549,760.793274,113.423805,123.157951,832.478638,164.672379,174.429520,109.761230,10.888138,41.384827,117.298515,133.663422,240.700851,104.178436,-19.829151,72.538666,880.486450,-64.621216,76.859993,101.264549,161.578217,120.395576,82.942467,56.055523,38.811878,82.452667,124.803665,247.887817,906.287415,75.434174,137.886307,926.362854,-228.149185,158.013794,117.949493,165.361145,444.309387,115.170845,-44.300217,-106.366776,55.718788,354.758667,184.441818,53.689167,82.672478,141.110321,1015.719482,88.779594,241.916382,1022.054199,-27.754154,131.766800,1034.467163,,,
17,25.725176,78.416801,590.803040,149.397903,238.677170,598.327820,124.811798,140.188843,652.774231,12.125223,54.846165,357.564636,142.034897,225.876511,346.380615,144.326553,229.164764,657.870605,120.056679,131.871765,760.872986,113.581268,123.382149,832.521973,164.428543,174.848831,110.066498,10.588030,41.896584,117.547295,133.300583,241.201584,104.072739,-19.602312,72.456451,880.500977,-64.869202,77.224533,101.263130,161.223267,120.805618,83.346428,55.756367,39.133972,82.871651,124.808205,247.944519,906.678467,75.601738,137.808380,926.513000,-228.450775,158.533432,117.086342,164.978668,444.796234,114.278503,-44.430798,-106.067970,56.485287,354.565002,184.687714,54.502094,82.743874,140.693787,1015.888367,89.282394,241.530426,1022.352661,-27.857758,131.859100,1034.670044,,,
18,25.765383,78.798622,591.019104,149.196075,239.316238,598.543945,124.936630,140.722183,652.948486,11.921025,55.286434,357.821320,141.998169,226.324081,346.552032,144.175949,229.746628,658.121155,120.102379,132.201401,760.979004,113.698013,123.596077,832.591797,164.095871,175.329681,110.350792,10.270420,42.389481,117.809418,132.942871,241.683624,104.017342,-19.390503,72.389496,880.541016,-65.147423,77.618637,101.254219,161.005661,121.203316,83.778366,55.443207,39.474903,83.336975,124.808327,248.024094,907.058594,75.757408,137.749054,926.685303,-228.846817,159.095810,116.166298,164.564545,445.323578,113.326576,-44.559315,-105.761024,57.303699,354.349823,184.946304,55.349991,82.806206,140.333389,1016.082947,89.720383,241.201416,1022.662415,-27.793058,131.876541,1034.910889,,,
19,25.788483,79.128967,591.245300,148.994171,239.930817,598.780823,125.234756,141.192337,653.157104,11.796309,55.699905,358.123352,141.927795,226.821381,346.766663,144.056152,230.335587,658.380493,120.202202,132.576019,761.118408,113.776352,123.784454,832.687622,163.675629,175.849472,110.611450,9.921579,42.870537,118.048958,132.529404,242.192795,103.926498,-19.174856,72.310410,880.624817,-65.517387,78.094673,101.207497,160.827805,121.612076,84.252190,55.031624,39.897106,83.810753,124.836853,248.102158,907.433228,75.910645,137.728607,926.882263,-229.378143,159.671082,115.154678,164.131912,445.898285,112.342354,-44.752243,-105.436310,58.196083,354.196411,185.229645,56.196136,82.794701,140.049072,1016.278870,90.102615,240.915436,1022.997681,-27.513802,131.777771,1035.214478,,,
20,25.835388,79.477821,591.452209,148.894562,240.483368,599.075256,125.339432,141.698669,653.403381,11.697750,56.062981,358.417511,141.786896,227.363037,347.042572,143.981979,230.908234,658.659363,120.379059,132.986404,761.280518,113.829102,123.970512,832.800842,163.227768,176.385132,110.895470,9.521799,43.376770,118.318932,132.077713,242.793396,103.766655,-18.997417,72.247757,880.742493,-66.019180,78.670265,101.122604,160.435349,122.076561,84.760132,54.624062,40.341759,84.261864,124.895714,248.157318,907.817993,76.093330,137.744965,927.085571,-229.782944,160.167450,114.128387,163.706711,446.479584,111.310104,-44.990803,-105.134262,59.062916,354.053162,185.522934,57.045658,82.757286,139.827423,1016.470337,90.484787,240.638062,1023.340942,-27.326643,131.772552,1035.519043,,,
