angelina-std-01
Date:,2012/07/12
Time:,14:24:07
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,131.362442,-136.737167,568.771790,226.861542,-95.925797,541.675842,193.003418,-120.754211,607.612427,15.134117,-63.570801,537.504761,49.598145,-110.402473,608.165405,122.210236,-142.133667,678.374878,121.993477,-155.071442,746.769714,208.281708,-96.836395,271.933838,16.530464,-94.679100,272.784424,-2.246172,-74.915672,815.753479,240.569809,-81.549355,824.340881,120.431015,-131.301987,853.526550,126.348068,-144.069000,906.169434,203.436050,-86.350235,937.761963,44.472637,-88.258179,946.394714,199.986893,-111.622284,45.638836,5.268975,-95.179840,40.655403,161.707947,-137.375427,15.241533,36.743748,-128.793716,16.024454,239.763184,-44.165264,17.139799,-16.019794,-18.556713,14.751119
12,131.357376,-136.798630,568.737061,226.934006,-96.024590,541.694214,192.969208,-120.811432,607.585144,15.190547,-63.615105,537.494873,49.677422,-110.525444,607.908752,122.224808,-142.235809,678.352051,121.980370,-155.156235,746.750549,208.353928,-96.895187,271.926880,16.586542,-94.677032,272.782135,-2.209062,-75.003204,815.718201,240.580215,-81.690636,824.351257,120.442459,-131.477493,853.512451,126.394577,-144.235703,906.176941,203.446274,-86.513664,937.764954,44.455944,-88.334839,946.356079,200.001297,-111.624489,45.624580,5.276641,-95.179886,40.659172,161.709656,-137.383270,15.252413,36.742195,-128.798767,16.020903,239.763947,-44.161369,17.157953,-16.050253,-18.568188,14.762423
13,131.400284,-136.879501,568.716431,227.002258,-96.128265,541.715576,192.958771,-120.882866,607.559204,15.264185,-63.596558,537.495911,49.712513,-110.671394,607.324585,122.236343,-142.333221,678.331726,121.943832,-155.220291,746.703613,208.382858,-96.910667,271.912720,16.689302,-94.728409,272.803589,-2.189655,-75.097603,815.690613,240.646683,-81.897362,824.345276,120.501823,-131.681442,853.485474,126.420670,-144.410995,906.197205,203.490448,-86.689445,937.771851,44.428345,-88.374962,946.319092,200.013351,-111.630371,45.607220,5.267093,-95.166031,40.668064,161.697784,-137.380585,15.244714,36.755848,-128.797363,16.032444,239.763947,-44.161369,17.157953,-16.108053,-18.591967,14.777010
14,131.431061,-136.965698,568.684387,227.069366,-96.235100,541.716919,192.975693,-121.002533,607.544922,15.344293,-63.575497,537.466187,49.710884,-110.665352,607.280273,122.241585,-142.428391,678.324524,121.925270,-155.321030,746.656982,208.403275,-96.936119,271.928162,16.792782,-94.788170,272.846680,-2.161372,-75.192757,815.651489,240.764420,-82.173851,824.330627,120.552139,-131.874664,853.450256,126.420479,-144.568970,906.211121,203.524002,-86.854889,937.778748,44.407799,-88.446053,946.284729,200.013260,-111.632004,45.597134,5.305941,-95.165779,40.663795,161.693954,-137.356094,15.222725,36.771564,-128.791245,16.028275,239.734497,-44.169304,17.126490,-16.104935,-18.592800,14.768991
15,131.461700,-137.058411,568.650391,227.103577,-96.319443,541.694519,193.027252,-121.138748,607.538879,15.387727,-63.556370,537.411133,49.641632,-110.490715,607.822327,122.234756,-142.514038,678.310486,121.914474,-155.429337,746.641174,208.523926,-97.077248,271.950256,16.872564,-94.796173,272.851379,-2.132254,-75.289230,815.600647,240.848495,-82.432404,824.310608,120.580193,-132.045212,853.433228,126.394081,-144.697968,906.231384,203.526749,-87.022209,937.791931,44.415745,-88.599480,946.240173,200.010086,-111.649460,45.597004,5.393567,-95.240593,40.645481,161.684875,-137.339844,15.210506,36.747536,-128.768768,16.028774,239.727768,-44.185314,17.108164,-16.047134,-18.569019,14.754403
16,131.514023,-137.122528,568.628601,227.147232,-96.380325,541.687683,193.114288,-121.284279,607.538574,15.429018,-63.546265,537.381714,49.634560,-110.462471,608.084717,122.233635,-142.627380,678.285461,121.904678,-155.515610,746.627869,208.596252,-97.157448,271.950439,16.905773,-94.794418,272.858887,-2.090772,-75.410820,815.551880,240.861069,-82.582901,824.282288,120.629639,-132.226715,853.429504,126.333710,-144.802414,906.238342,203.539978,-87.200348,937.799927,44.467842,-88.805382,946.200989,200.023102,-111.677361,45.605953,5.395826,-95.268562,40.631172,161.677841,-137.338135,15.210022,36.723072,-128.752808,16.034668,239.751816,-44.190228,17.131464,-16.032997,-18.554131,14.754794
17,131.527222,-137.164032,568.607910,227.222366,-96.464142,541.705566,193.184494,-121.403625,607.531616,15.489737,-63.542961,537.375305,49.725933,-110.654984,607.747437,122.270523,-142.780487,678.271362,121.918434,-155.642197,746.579407,208.605621,-97.175438,271.947052,16.901350,-94.782936,272.869354,-2.046631,-75.555420,815.528381,240.878723,-82.733101,824.284973,120.639938,-132.386810,853.413208,126.319122,-144.947388,906.213501,203.558090,-87.385612,937.788879,44.535275,-89.013992,946.182312,200.019836,-111.682770,45.601948,5.330671,-95.204185,40.633850,161.696915,-137.345596,15.219192,36.767929,-128.775558,16.023027,239.752563,-44.186337,17.149618,-16.046200,-18.551548,14.758471
18,131.513077,-137.208572,568.582092,227.297546,-96.560287,541.720581,193.234467,-121.495094,607.520447,15.544553,-63.551643,537.371338,49.900459,-110.943794,607.397888,122.283180,-142.902878,678.250671,121.947731,-155.784836,746.522888,208.604111,-97.171165,271.932434,16.940313,-94.783028,272.846191,-2.011774,-75.698578,815.522278,240.902283,-82.918770,824.324158,120.572952,-132.493225,853.380981,126.373291,-145.145447,906.208496,203.577530,-87.581886,937.786804,44.553589,-89.162956,946.152771,200.010101,-111.680252,45.595406,5.315537,-95.168198,40.642929,161.720139,-137.372925,15.240788,36.804569,-128.793839,16.024712,239.781784,-44.185570,17.135006,-16.036114,-18.553297,14.762814
19,131.499817,-137.253082,568.549866,227.366638,-96.638618,541.736633,193.284500,-121.611732,607.511902,15.595057,-63.573551,537.362000,49.955009,-111.011803,607.653259,122.245331,-142.988266,678.207031,121.960083,-155.914352,746.485657,208.549713,-97.101425,271.909607,17.007475,-94.811386,272.830963,-1.967622,-75.843155,815.498779,240.990845,-83.175995,824.355103,120.561493,-132.627716,853.338867,126.448479,-145.370682,906.233032,203.585037,-87.791275,937.805969,44.531170,-89.239403,946.113647,200.019836,-111.682770,45.601948,5.347019,-95.200897,40.631676,161.726944,-137.397522,15.246941,36.790943,-128.794968,16.036121,239.810989,-44.184803,17.120394,-16.010193,-18.558340,14.778015
20,131.497894,-137.320602,568.523010,227.418976,-96.735229,541.752869,193.334763,-121.755051,607.492615,15.648097,-63.597317,537.356262,49.843632,-110.901344,607.936096,122.239891,-143.099594,678.171631,121.952805,-156.066498,746.443420,208.568939,-97.115883,271.914551,17.013626,-94.770584,272.828094,-1.916341,-75.966599,815.455994,241.137207,-83.495018,824.337463,120.637337,-132.831360,853.298340,126.533363,-145.613144,906.249695,203.572754,-87.998039,937.830383,44.546589,-89.380020,946.067505,200.034195,-111.676857,45.606327,5.337724,-95.185127,40.628448,161.730362,-137.373566,15.225532,36.773972,-128.796982,16.029903,239.806213,-44.195843,17.124159,-16.021702,-18.573942,14.792157
