arthur-std-03
Date:,2012/07/09
Time:,14:34:12
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:LBHD,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LTRO
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-31.955880,264.099978,579.088936,26.082426,359.971814,519.884617,19.169305,349.237492,572.241394,-122.946012,245.953566,591.906295,-13.677602,263.926370,679.094467,58.015478,345.345077,279.375086,-147.701773,196.117022,284.216896,-10.994751,262.573649,753.714024,-144.787862,234.711820,809.530587,25.646595,389.879866,821.315887,-32.937315,288.786033,845.166313,2.927912,283.203653,911.344344,5.857082,380.836490,938.498619,-169.630425,181.404781,45.588275,85.876324,344.426556,39.113816,-96.336514,260.111472,957.820228,55.377764,301.382724,16.992718,-123.806712,184.082759,18.308078,107.865267,413.247631,11.234895,-249.073883,205.769360,17.705794,-134.488203,236.848697,515.035742
12,-31.915206,264.205412,579.099503,25.972009,360.129852,519.875400,19.288268,349.335971,572.275002,-123.023304,246.032595,591.898589,-13.738227,264.072058,679.098403,57.964163,345.452794,279.387302,-147.719369,196.151757,284.224857,-11.026416,262.718723,753.722510,-144.823241,234.831407,809.540853,25.632813,390.024660,821.295180,-32.930888,288.960575,845.158143,2.931568,283.363233,911.324286,5.876725,381.029054,938.458793,-169.670218,181.416960,45.592201,85.837689,344.446633,39.103579,-96.445487,260.368433,957.788686,55.368542,301.374487,17.004251,-123.776992,184.097507,18.320646,107.903577,413.253492,11.239782,-249.065031,205.772734,17.698833,-134.493200,236.927985,515.027848
13,-31.964742,264.320855,579.091113,25.898431,360.263541,519.854222,19.200029,349.514431,572.278672,-123.073882,246.108700,591.899118,-13.829649,264.200565,679.069393,57.889584,345.551544,279.401189,-147.727966,196.212822,284.232180,-11.059184,262.882742,753.735977,-144.840152,234.936384,809.559788,25.558854,390.212997,821.261793,-32.976499,289.154879,845.152882,2.950233,283.545320,911.309489,5.901241,381.229097,938.436435,-169.594379,181.444287,45.591835,85.808590,344.452954,39.113036,-96.444698,260.560255,957.775836,55.359185,301.379903,16.996552,-123.777208,184.104383,18.322385,107.925569,413.268374,11.265278,-249.077008,205.762164,17.708817,-134.478491,237.004976,515.028491
14,-31.964231,264.457490,579.084450,25.818238,360.403599,519.821871,18.916985,349.739768,572.229175,-123.119659,246.212969,591.904719,-13.880478,264.297673,679.065721,57.817979,345.659821,279.404659,-147.732395,196.269658,284.248567,-11.102729,263.055459,753.754836,-144.855727,235.034547,809.579020,25.486637,390.408007,821.214279,-33.100721,289.350580,845.146602,3.009160,283.727933,911.303464,5.898111,381.452820,938.394324,-169.533590,181.470970,45.588832,85.834465,344.452808,39.140034,-96.378691,260.721889,957.795938,55.371242,301.394431,16.996576,-123.793801,184.105391,18.324134,107.938011,413.273632,11.273845,-249.074574,205.762670,17.723214,-134.597437,237.131699,515.010051
15,-31.977392,264.583803,579.104119,25.731420,360.537885,519.819919,18.761445,349.908812,572.202803,-123.173970,246.296869,591.902652,-13.835905,264.407863,679.099257,57.756581,345.764453,279.406813,-147.757450,196.290315,284.268887,-11.117728,263.213171,753.777799,-144.885160,235.131425,809.593275,25.461992,390.573917,821.184933,-33.253750,289.554001,845.121311,3.027355,283.920466,911.296326,5.880351,381.683634,938.322146,-169.557340,181.484548,45.584794,85.753861,344.460589,39.145746,-96.215024,260.844263,957.822226,55.391789,301.411223,17.014374,-123.787509,184.099606,18.330340,107.899572,413.270360,11.267168,-249.072547,205.771310,17.726302,-134.793369,237.250362,514.995591
16,-32.037037,264.675012,579.124585,25.649855,360.664154,519.828564,18.727364,350.016068,572.206531,-123.209843,246.356057,591.901899,-13.850974,264.518052,679.125896,57.694372,345.861800,279.432494,-147.792174,196.307181,284.273363,-11.130383,263.371575,753.785887,-144.938395,235.225496,809.607120,25.427531,390.735779,821.168581,-33.333820,289.737028,845.106090,3.001402,284.138895,911.288107,5.864720,381.915970,938.265718,-169.558078,181.467285,45.580141,85.681626,344.482459,39.162412,-96.101262,261.030772,957.840765,55.351394,301.419308,17.021257,-123.796628,184.109593,18.326262,107.877017,413.286002,11.271692,-249.090891,205.788666,17.711114,-134.827348,237.302713,515.012714
17,-32.045195,264.744628,579.121261,25.551119,360.805624,519.828772,18.672060,350.093639,572.205519,-123.212440,246.422567,591.857721,-13.872567,264.625985,679.122836,57.618492,345.976739,279.446677,-147.821390,196.360578,284.259583,-11.162660,263.528985,753.792085,-144.983018,235.346250,809.622251,25.309228,390.934798,821.131023,-33.356509,289.891072,845.117459,2.979234,284.355165,911.275071,5.857922,382.135126,938.239583,-169.511077,181.400395,45.597077,85.660329,344.516112,39.171994,-96.150386,261.302943,957.831907,55.305691,301.397991,17.029624,-123.806430,184.138612,18.318283,107.851952,413.323006,11.267631,-249.102176,205.784787,17.703677,-134.736323,237.336136,515.035652
18,-32.033539,264.826939,579.129510,25.464449,360.938611,519.834295,18.595773,350.191627,572.195551,-123.238280,246.485631,591.807158,-13.830844,264.750989,679.121234,57.532749,346.090239,279.422756,-147.819288,196.430702,284.250450,-11.196436,263.664522,753.800872,-145.010244,235.501384,809.634297,25.218013,391.130851,821.100360,-33.333159,290.067953,845.141214,2.936097,284.553369,911.263824,5.868704,382.322532,938.212423,-169.534001,181.411130,45.620331,85.646757,344.532591,39.158367,-96.220324,261.519717,957.827962,55.306433,301.378066,17.050823,-123.799443,184.151744,18.312266,107.801851,413.328509,11.283443,-248.995592,205.709323,17.705421,-134.701892,237.384816,515.038993
19,-32.054869,264.948161,579.145408,25.403287,361.038089,519.827336,18.537527,350.312980,572.181712,-123.307391,246.562878,591.847261,-13.827412,264.869022,679.133945,57.476168,346.180901,279.396213,-147.809253,196.473590,284.267102,-11.248296,263.806905,753.800624,-145.059359,235.682076,809.660846,25.183999,391.305420,821.092534,-33.310244,290.254250,845.153126,2.851275,284.764773,911.262208,5.874656,382.502448,938.167800,-169.565747,181.500225,45.611220,85.649114,344.533491,39.150579,-96.206015,261.654159,957.863030,55.323138,301.406102,17.062946,-123.791281,184.152631,18.309366,107.837542,413.316662,11.301270,-248.875930,205.662346,17.699891,-134.733336,237.444950,515.026839
20,-32.140034,265.081930,579.161736,25.337625,361.124151,519.824634,18.587504,350.387362,572.202182,-123.387724,246.639514,591.911068,-13.855501,264.985861,679.141483,57.455255,346.266052,279.396927,-147.835056,196.497611,284.290568,-11.306195,263.977209,753.811278,-145.100018,235.822358,809.707584,25.059531,391.519683,821.058193,-33.360285,290.423534,845.150555,2.759702,284.999960,911.247409,5.867084,382.692398,938.126540,-169.550468,181.516221,45.593282,85.649114,344.533491,39.150579,-96.185922,261.801710,957.897296,55.344582,301.417466,17.078967,-123.774403,184.146280,18.318269,107.878161,413.331650,11.284108,-248.963479,205.727145,17.695914,-134.773412,237.518870,515.016748
