angelina-std-03
Date:,2012/07/12
Time:,14:34:43
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:T7,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,111.518326,-134.815857,570.646545,207.403458,-99.257095,538.311157,174.066345,-118.426765,604.317627,30.287121,-105.502754,603.397644,-3.616341,-63.330914,530.461365,103.223846,-139.988907,666.077881,106.736320,-160.000336,729.899719,193.270538,-140.865509,270.982330,1.359042,-132.028427,268.580658,231.012863,-99.810226,812.354126,113.047401,-150.930847,839.621216,-10.660948,-86.318298,820.232971,123.842285,-168.190689,895.252502,202.854630,-113.298485,926.246094,44.503105,-113.577736,942.122620,200.370804,-115.053581,44.597672,2.887231,-96.798538,38.132816,162.539703,-138.507401,13.919703,35.224781,-129.326050,15.038911,239.211456,-44.396866,17.515572,-17.028400,-18.571289,11.699889
12,111.578651,-134.906357,570.604614,207.434952,-99.219070,538.282227,174.152481,-118.474060,604.256287,30.375904,-105.730156,603.479675,-3.673519,-63.489452,530.467346,103.184898,-140.032120,666.064697,106.746033,-160.118317,729.886841,193.259903,-140.866333,270.964691,1.307006,-132.071396,268.568726,231.004105,-99.917702,812.344177,113.017845,-151.046173,839.620972,-10.679588,-86.381424,820.284302,123.806763,-168.358261,895.294128,202.871109,-113.403816,926.215027,44.523205,-113.738235,942.167053,200.341553,-115.010788,44.605186,2.861198,-96.802765,38.143406,162.555389,-138.528534,13.919862,35.227489,-129.329178,15.048535,239.214233,-44.387806,17.523355,-17.180424,-18.560579,11.762974
13,111.653679,-134.982193,570.575806,207.461960,-99.189079,538.270691,174.169861,-118.463379,604.219788,30.548134,-106.074829,603.554016,-3.671483,-63.686211,530.467468,103.184555,-140.097214,666.045532,106.718407,-160.203873,729.875366,193.275589,-140.882919,270.949097,1.299330,-132.194534,268.582764,231.040817,-100.079659,812.349182,112.973503,-151.153961,839.610413,-10.668180,-86.462776,820.329956,123.746597,-168.498367,895.333496,202.870300,-113.498123,926.170593,44.519764,-113.876755,942.182007,200.322189,-115.004143,44.602188,2.831305,-96.800011,38.132622,162.576843,-138.545959,13.920140,35.230480,-129.347107,15.057124,239.212952,-44.388428,17.533133,-17.241367,-18.583546,11.785661
14,111.714088,-135.067230,570.565002,207.502182,-99.156120,538.267090,174.213943,-118.461418,604.216980,30.483412,-106.166534,603.610352,-3.679261,-63.888481,530.468445,103.212494,-140.180283,666.023499,106.643372,-160.269928,729.849060,193.270340,-140.864136,270.924744,1.266817,-132.324890,268.609009,231.132675,-100.351418,812.373840,112.908112,-151.282257,839.601501,-10.668096,-86.539543,820.387451,123.702438,-168.616577,895.387390,202.844421,-113.585716,926.119934,44.472874,-113.984245,942.219116,200.350677,-115.033508,44.589252,2.811677,-96.785988,38.116245,162.575745,-138.544418,13.925861,35.220753,-129.353714,15.039894,239.204834,-44.407784,17.537115,-17.241367,-18.583546,11.785661
15,111.795570,-135.183350,570.549500,207.533401,-99.128487,538.257507,174.274399,-118.465836,604.219543,30.480877,-106.324699,603.629395,-3.687540,-64.130592,530.476807,103.230988,-140.249771,666.022949,106.603615,-160.360764,729.829651,193.276443,-140.824921,270.898499,1.206161,-132.408051,268.611481,231.170151,-100.605331,812.384399,112.833855,-151.391785,839.596558,-10.700268,-86.575676,820.448669,123.665878,-168.742462,895.455078,202.837860,-113.662270,926.079834,44.379669,-114.043358,942.252014,200.413651,-115.068047,44.591721,2.796034,-96.777527,38.125221,162.563873,-138.539291,13.934970,35.208206,-129.352936,15.020525,239.200760,-44.417465,17.539106,-17.183062,-18.559866,11.748439
16,111.912827,-135.332565,570.525696,207.540375,-99.134537,538.246582,174.291183,-118.463425,604.235596,30.566547,-106.561958,603.601257,-3.662896,-64.385078,530.475769,103.250977,-140.302078,666.029785,106.584572,-160.478455,729.830505,193.350555,-140.816559,270.895447,1.167889,-132.510895,268.572876,231.177704,-100.816353,812.392883,112.769859,-151.483429,839.593933,-10.714911,-86.605064,820.505066,123.656029,-168.895355,895.525330,202.846481,-113.709633,926.070496,44.306248,-114.086838,942.270142,200.431000,-115.033340,44.608036,2.796319,-96.778122,38.135056,162.566360,-138.530334,13.940003,35.220047,-129.348602,15.010408,239.202103,-44.414303,17.549265,-17.185698,-18.559153,11.733904
17,111.988731,-135.451202,570.516724,207.554199,-99.156944,538.252563,174.278885,-118.457451,604.277832,30.479019,-106.601471,603.627014,-3.681723,-64.601585,530.470032,103.254738,-140.356308,666.029175,106.531296,-160.575272,729.817932,193.379013,-140.791641,270.888184,1.145970,-132.656296,268.525787,231.152695,-100.998688,812.404053,112.719093,-151.584030,839.597107,-10.731628,-86.631340,820.558777,123.696976,-169.023224,895.587830,202.825912,-113.744034,926.081055,44.264561,-114.156700,942.282471,200.447510,-115.027039,44.595341,2.794135,-96.778023,38.121254,162.581573,-138.534821,13.931535,35.226669,-129.343140,15.001492,239.208817,-44.398304,17.567593,-17.192593,-18.593662,11.765676
18,112.012260,-135.546234,570.531616,207.564606,-99.163284,538.267700,174.291214,-118.488831,604.307495,30.467615,-106.721771,603.637939,-3.727010,-64.826004,530.456909,103.207466,-140.433075,666.023010,106.475548,-160.644196,729.808167,193.374954,-140.765610,270.878479,1.125410,-132.781418,268.508118,231.126480,-101.226395,812.420166,112.662758,-151.669724,839.604797,-10.780161,-86.617615,820.610413,123.734947,-169.101974,895.646484,202.785492,-113.787544,926.099121,44.231281,-114.264305,942.280151,200.492157,-115.093567,44.568565,2.767846,-96.758789,38.091267,162.589828,-138.547302,13.927594,35.206123,-129.337723,15.002673,239.218262,-44.375786,17.573771,-17.103783,-18.644096,11.780160
19,112.043472,-135.678482,570.561035,207.564667,-99.160950,538.282410,174.278564,-118.540131,604.324524,30.546583,-106.938087,603.617004,-3.753572,-65.065918,530.428833,103.194420,-140.564743,666.028809,106.416214,-160.701859,729.825989,193.415710,-140.758881,270.877747,1.111562,-132.895264,268.492737,231.148712,-101.535339,812.434753,112.591446,-151.738358,839.620300,-10.818294,-86.598755,820.674316,123.719154,-169.170929,895.713196,202.774918,-113.815605,926.117737,44.182621,-114.361969,942.278076,200.493561,-115.080154,44.569145,2.737614,-96.725586,38.072109,162.591904,-138.542679,13.947279,35.200344,-129.332764,15.001360,239.221054,-44.366726,17.581547,-17.089960,-18.660675,11.779663
20,112.082306,-135.817673,570.588501,207.564316,-99.184380,538.296143,174.229614,-118.582085,604.354309,30.506483,-107.052643,603.611816,-3.767082,-65.292755,530.387878,103.242645,-140.719223,666.045410,106.341888,-160.761398,729.853271,193.473007,-140.765625,270.867340,1.120284,-133.020309,268.462311,231.143341,-101.804543,812.427429,112.519348,-151.792297,839.651672,-10.829733,-86.573708,820.745483,123.680832,-169.238937,895.771057,202.784851,-113.806282,926.152283,44.113640,-114.396408,942.293518,200.472778,-115.023300,44.561108,2.727583,-96.730087,38.069271,162.587448,-138.542206,13.963680,35.213699,-129.341751,14.992743,239.219772,-44.367344,17.591314,-17.209242,-18.621723,11.776524
