bleuenn-std-03
Date:,2012/11/24
Time:,11:05:45
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LASI,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD-1,,,Patient1:C7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
74,-3.892175,50.853566,619.261261,-122.782800,106.739378,583.086520,45.200849,66.244038,640.436050,-127.715726,67.734901,313.886490,101.008861,69.881490,306.275911,0.185356,51.231785,761.349732,0.845743,45.116891,816.454183,-130.449484,116.923095,911.652083,-3.879658,79.600459,979.720063,120.327891,62.808419,45.521883,-144.161200,54.161607,40.471365,70.352509,41.601328,21.415558,-98.130430,47.711327,14.037301,75.696638,126.049488,1018.154906,-85.716442,137.301453,1018.115272,176.331271,115.316120,16.612771,-202.259712,120.974047,15.186733,-55.247867,66.412130,651.849169,124.818691,133.930868,911.856343,-4.726513,79.487397,938.035864,,,,,,
75,-3.898784,50.889179,619.268559,-122.782980,106.739606,583.088423,45.182008,66.259481,640.433871,-127.696426,67.738979,313.890153,101.018569,69.916339,306.271451,0.214657,51.249544,761.383091,0.876111,45.186127,816.494000,-130.468051,116.939881,911.565436,-3.876361,79.729898,979.739519,120.304414,62.813480,45.545748,-144.165567,54.160070,40.470912,70.369323,41.575269,21.423057,-98.166721,47.727226,14.053591,75.640615,126.252512,1018.107025,-85.740438,137.454834,1018.126133,176.309292,115.360689,16.572088,-202.256417,120.952064,15.202282,-55.238071,66.414257,651.849105,124.788407,134.072452,911.874089,-4.741250,79.588490,938.062405,,,,,,
76,-3.896785,50.878847,619.262578,-122.790826,106.767412,583.078653,45.163265,66.273583,640.426528,-127.700173,67.750806,313.893722,101.040751,69.910051,306.273528,0.245252,51.257041,761.427564,0.902457,45.234530,816.526779,-130.488612,116.969620,911.476092,-3.906782,79.884442,979.759365,120.329012,62.772788,45.578702,-144.165169,54.157498,40.448634,70.362965,41.576491,21.418130,-98.193110,47.739392,14.066525,75.614468,126.427134,1018.080894,-85.755840,137.597642,1018.125737,176.305627,115.407916,16.572643,-202.251085,120.951191,15.209587,-55.236485,66.412913,651.829185,124.781576,134.218877,911.881000,-4.763721,79.716285,938.071734,,,,,,
77,-3.899767,50.867920,619.256322,-122.795118,106.781634,583.070230,45.163363,66.272244,640.421362,-127.714183,67.783735,313.895275,101.027297,69.930412,306.275338,0.264847,51.263102,761.467739,0.935030,45.272290,816.568459,-130.523436,117.012377,911.405236,-3.959768,80.055011,979.773404,120.341201,62.739540,45.584033,-144.169032,54.172590,40.422137,70.365575,41.575288,21.418596,-98.192910,47.707122,14.075918,75.614953,126.576149,1018.076454,-85.794950,137.756763,1018.104626,176.300835,115.397877,16.599135,-202.249485,120.972804,15.203913,-55.254652,66.403087,651.837445,124.760515,134.407096,911.881399,-4.772229,79.834752,938.087462,,,,,,
78,-3.904689,50.865968,619.250833,-122.794938,106.781407,583.068326,45.155012,66.249448,640.424190,-127.749416,67.848590,313.891344,101.014776,69.937238,306.268510,0.282583,51.282438,761.503121,0.977738,45.318869,816.637508,-130.549771,117.050951,911.324000,-4.010174,80.228357,979.785804,120.327586,62.751976,45.557451,-144.177367,54.200550,40.424333,70.371372,41.565766,21.425338,-98.186479,47.715701,14.067134,75.578233,126.765654,1018.059667,-85.841490,137.970212,1018.068609,176.350787,115.315942,16.623580,-202.246973,120.951865,15.206570,-55.283723,66.368235,651.844837,124.744673,134.607830,911.871833,-4.751131,79.915684,938.125946,,,,,,
79,-3.890213,50.817436,619.233536,-122.791229,106.765927,583.061531,45.124732,66.206476,640.429203,-127.774323,67.880882,313.889840,101.000613,69.905606,306.276674,0.305040,51.320587,761.532904,1.027574,45.351926,816.704280,-130.539362,117.098475,911.233545,-4.040531,80.395197,979.814926,120.332135,62.770668,45.553663,-144.169694,54.208191,40.435298,70.351793,41.593498,21.418857,-98.170141,47.723518,14.081838,75.528172,126.974412,1018.042285,-85.862234,138.187999,1018.039080,176.363045,115.302771,16.639364,-202.246115,120.932972,15.201477,-55.296203,66.331798,651.825771,124.752278,134.769673,911.868310,-4.731922,80.020356,938.169317,,,,,,
80,-3.891776,50.765653,619.205001,-122.779352,106.719141,583.062909,45.099540,66.176704,640.426883,-127.778514,67.911288,313.874397,100.986803,69.907073,306.315815,0.309213,51.352516,761.582605,1.070566,45.379328,816.769608,-130.518123,117.156148,911.158174,-4.055227,80.559137,979.843930,120.309745,62.796817,45.574452,-144.150960,54.190482,40.424718,70.346498,41.616868,21.402595,-98.190258,47.736108,14.087552,75.510919,127.149041,1018.047570,-85.884576,138.425682,1018.001941,176.305721,115.353768,16.644168,-202.246985,120.933974,15.206616,-55.301048,66.310518,651.814130,124.763950,134.902183,911.882993,-4.728477,80.180319,938.196894,,,,,,
81,-3.924769,50.727352,619.180772,-122.766249,106.645823,583.077781,45.108237,66.132175,640.426937,-127.794273,67.928504,313.855088,100.998326,69.943408,306.350747,0.314089,51.379858,761.643988,1.089308,45.445476,816.841659,-130.512634,117.219241,911.094398,-4.071401,80.745000,979.877369,120.276448,62.825469,45.578095,-144.149028,54.170642,40.416674,70.358503,41.603204,21.405205,-98.249398,47.779703,14.058109,75.457242,127.385386,1018.071454,-85.915780,138.695784,1017.946269,176.298289,115.335928,16.665755,-202.242518,120.934104,15.219060,-55.295012,66.246013,651.824104,124.784518,135.058545,911.888391,-4.712241,80.372044,938.216220,,,,,,
82,-3.964951,50.692944,619.159803,-122.781443,106.582607,583.089360,45.127108,66.061708,640.441454,-127.819319,67.868414,313.865600,101.022510,69.941354,306.366923,0.337814,51.413029,761.693019,1.118020,45.544754,816.904862,-130.508679,117.301142,911.057445,-4.089352,80.955030,979.932157,120.292340,62.810772,45.586238,-144.172430,54.173212,40.404317,70.356122,41.588829,21.426783,-98.257891,47.771377,14.047683,75.390188,127.663380,1018.096335,-85.947574,138.964298,1017.898141,176.528099,114.983360,16.861454,-202.243298,120.935150,15.206170,-55.291316,66.145578,651.838447,124.826392,135.239294,911.866795,-4.679637,80.557775,938.259594,,,,,,
83,-3.971654,50.645810,619.148661,-122.810598,106.535070,583.079907,45.153532,65.922325,640.477666,-127.847445,67.804721,313.886945,101.044880,69.931628,306.379016,0.352334,51.435641,761.760824,1.152404,45.645076,816.981797,-130.493648,117.425206,911.043752,-4.121283,81.168070,979.981154,120.312246,62.807741,45.597397,-144.211573,54.187268,40.374170,70.351168,41.587529,21.432283,-98.193494,47.729114,14.041908,75.384081,127.898850,1018.114797,-85.980253,139.233583,1017.854481,176.742581,114.653041,17.036458,-202.252649,120.953280,15.183806,-55.176781,65.758701,651.992860,124.868255,135.420054,911.845197,-4.646718,80.735427,938.309995,,,,,,
84,-3.962345,50.554911,619.152271,-122.828184,106.456466,583.057672,45.141210,65.830350,640.490304,-127.880911,67.774050,313.889727,101.042550,69.964460,306.384731,0.371289,51.436662,761.856926,1.169987,45.745455,817.082873,-130.472686,117.597810,911.032773,-4.162830,81.391927,980.019933,120.278812,62.879187,45.561543,-144.241615,54.178913,40.350464,70.353714,41.587265,21.418127,-98.140329,47.712668,14.021695,75.366650,128.189620,1018.136354,-86.016075,139.503738,1017.809879,176.568358,114.936201,16.871346,-202.261220,120.970363,15.174332,-54.745457,64.616050,652.467708,124.885799,135.620157,911.817112,-4.612357,80.951759,938.346326,,,,,,
85,-3.970410,50.451206,619.155970,-122.856875,106.336997,583.057699,44.943071,66.221454,640.486746,-127.894304,67.696083,313.892786,101.032157,69.942452,306.394850,0.402180,51.446809,761.949624,1.205447,45.829959,817.193404,-130.448552,117.787138,911.021768,-4.185956,81.635812,980.044402,120.251706,62.922553,45.534247,-144.280737,54.153787,40.342341,70.351804,41.586165,21.403595,-98.149285,47.668322,14.022477,75.316067,128.514619,1018.151095,-86.034034,139.792203,1017.778712,176.368804,115.243930,16.711670,-202.258583,120.945545,15.168710,-54.556796,64.033984,652.654811,124.916217,135.819186,911.773642,-4.561400,81.190078,938.394942,,,,,,
86,-3.975302,50.351297,619.156317,-122.867987,106.212135,583.076418,44.644920,66.895684,640.561067,-127.888130,67.573489,313.910391,101.047822,69.858516,306.408024,0.428008,51.497242,762.028095,1.265976,45.912990,817.315397,-130.422827,117.989560,911.033191,-4.195272,81.903526,980.058881,120.287232,62.867730,45.547967,-144.350137,54.136961,40.315076,70.346593,41.593768,21.381872,-98.205496,47.612039,14.036421,75.296447,128.790030,1018.160283,-86.026781,140.100177,1017.741035,176.530378,114.969991,16.881557,-202.257221,120.903151,15.152718,-54.969267,64.901937,652.214274,124.975512,136.011389,911.737702,-4.511064,81.447870,938.450123,,,,,,
87,-3.977681,50.250329,619.150959,-122.855228,106.091961,583.092612,44.540999,67.106159,640.682993,-127.875666,67.424155,313.938689,101.076409,69.797183,306.431773,0.453413,51.573126,762.110080,1.318106,46.044998,817.430508,-130.403507,118.215036,911.067605,-4.206611,82.184308,980.082061,120.322946,62.807514,45.552297,-144.413453,54.131497,40.267036,70.343649,41.611434,21.355128,-98.254049,47.598383,14.023957,75.331288,129.054939,1018.162810,-86.030800,140.440304,1017.694664,176.933926,114.344492,17.215817,-202.280392,120.868540,15.137312,-55.250314,65.482966,651.935336,125.030673,136.266666,911.691470,-4.486753,81.726528,938.500474,,,,,,
88,-3.987000,50.158144,619.163287,-122.886792,105.956300,583.104943,44.827775,66.347254,640.762949,-127.872126,67.244136,313.979622,101.102249,69.757911,306.485668,0.485961,51.639104,762.200006,1.356331,46.226858,817.537723,-130.389039,118.469510,911.079569,-4.212574,82.493884,980.098096,120.326454,62.792114,45.560079,-144.463527,54.127392,40.238840,70.340504,41.584088,21.337733,-98.254903,47.582607,13.998535,75.381808,129.368454,1018.142912,-86.022277,140.817831,1017.660734,176.939908,114.333686,17.204659,-202.300260,120.854732,15.124077,-55.233441,65.346023,651.981596,125.074602,136.557712,911.630027,-4.445554,82.021276,938.559404,,,,,,
89,-3.990012,50.044745,619.204838,-122.948152,105.823301,583.112495,45.212685,65.333544,640.723359,-127.881211,67.085462,314.021695,101.112959,69.741907,306.533128,0.519600,51.710409,762.293262,1.392372,46.421984,817.665239,-130.368326,118.776162,911.069714,-4.229616,82.863780,980.102083,120.391911,62.747926,45.621082,-144.524297,54.118443,40.222717,70.350156,41.510530,21.311325,-98.265027,47.567672,13.974563,75.388987,129.752279,1018.102234,-85.970740,141.218848,1017.648616,175.977579,115.896427,16.528172,-202.302348,120.857281,15.118894,-55.222202,65.219693,652.035569,125.097894,136.829214,911.574695,-4.392319,82.360971,938.614648,,,,,,
90,-3.989802,49.918399,619.249535,-122.975843,105.696869,583.115657,45.237496,65.200417,640.623300,-127.877785,66.897432,314.059336,101.133688,69.728438,306.582903,0.535551,51.817681,762.401602,1.410803,46.624234,817.801709,-130.351960,119.135191,911.067832,-4.260973,83.290931,980.124277,120.506797,62.697246,45.688598,-144.599925,54.102472,40.201736,70.361465,41.460832,21.276552,-98.293146,47.554868,13.956583,75.387808,130.137818,1018.052614,-85.914826,141.670042,1017.648488,174.189033,118.956469,15.404749,-202.283130,120.861569,15.120206,-55.227682,65.119099,652.093857,125.121300,137.121631,911.517120,-4.374194,82.731106,938.667284,,,,,,
91,-4.010418,49.815098,619.307153,-122.987631,105.549452,583.119420,45.145986,65.308869,640.636122,-127.861972,66.673604,314.089727,101.209329,69.702843,306.662048,0.528892,51.937800,762.530748,1.430599,46.833937,817.935049,-130.347777,119.496566,911.080590,-4.273329,83.732982,980.167672,120.557522,62.718076,45.705562,-144.699372,54.099950,40.173604,70.346593,41.423184,21.255513,-98.309842,47.499624,13.938220,75.431212,130.492692,1018.021983,-85.875963,142.167003,1017.645332,175.701413,116.335530,16.276898,-202.244408,120.862345,15.119336,-55.255639,65.047941,652.157439,125.160134,137.442935,911.463197,-4.368784,83.127741,938.728713,,,,,,
92,-4.041814,49.697430,619.389499,-123.010316,105.367814,583.130677,45.165389,65.129658,640.759089,-127.859467,66.508352,314.106770,101.317408,69.727902,306.737783,0.523828,52.057469,762.676118,1.458817,47.054898,818.077084,-130.326486,119.863766,911.113448,-4.289124,84.214441,980.211361,120.583045,62.745932,45.648979,-144.818460,54.126674,40.131348,70.346464,41.373543,21.239993,-98.321711,47.423751,13.920575,75.471158,130.927586,1017.997240,-85.846755,142.718806,1017.650457,176.171172,115.523253,16.498142,-202.215907,120.841276,15.124051,-55.294927,64.980214,652.229830,125.168256,137.819064,911.426531,-4.364385,83.576373,938.797690,,,,,,
93,-4.078708,49.549537,619.474707,-123.057674,105.180265,583.145211,45.179010,65.005228,640.867014,-127.884161,66.397343,314.118561,101.419722,69.803887,306.820311,0.508930,52.199175,762.846003,1.442136,47.309077,818.229853,-130.276784,120.287886,911.152757,-4.330334,84.780795,980.254384,120.602364,62.766280,45.511473,-144.917933,54.166239,40.086297,70.384562,41.339387,21.232709,-98.311817,47.370764,13.900169,75.454722,131.506681,1017.939604,-85.829505,143.350954,1017.681728,176.159816,115.519265,16.431711,-202.196455,120.811953,15.131066,-55.331674,64.878267,652.309692,125.153576,138.276472,911.394450,-4.374315,84.124237,938.891929,,,,,,
94,-4.117885,49.378341,619.546817,-123.130571,104.989019,583.171663,45.188346,64.881993,640.943304,-127.895695,66.294555,314.144228,101.518899,69.882334,306.902135,0.471593,52.363005,763.043697,1.424779,47.598175,818.415165,-130.222011,120.758068,911.178287,-4.385846,85.420845,980.276895,120.633693,62.813290,45.482519,-144.982911,54.227930,40.043822,70.407610,41.328576,21.229175,-98.314368,47.356389,13.873493,75.457598,132.110148,1017.850379,-85.821816,144.064559,1017.731854,176.225649,115.393729,16.456878,-202.186437,120.800690,15.133753,-55.365148,64.746492,652.398725,125.142178,138.802497,911.368707,-4.389675,84.768874,938.991560,,,,,,
95,-4.147088,49.177491,619.610990,-123.209289,104.759276,583.223361,45.245869,64.575716,641.026761,-127.888522,66.182750,314.173433,101.614424,69.942451,306.955470,0.467998,52.517886,763.263050,1.467485,47.901366,818.646005,-130.189587,121.312004,911.206797,-4.450606,86.168081,980.279959,120.712008,62.842313,45.561363,-145.034397,54.280007,40.007262,70.408458,41.324919,21.221608,-98.341120,47.356859,13.863507,75.496802,132.733952,1017.744893,-85.801815,144.851227,1017.755707,176.274758,115.322409,16.496515,-202.186437,120.800690,15.133753,-55.382116,64.569658,652.496934,125.102228,139.427928,911.348336,-4.387893,85.460116,939.063124,,,,,,
96,-4.165645,48.958998,619.667377,-123.302268,104.476354,583.286483,45.389646,64.060344,641.095392,-127.858086,66.039689,314.173013,101.699310,69.937768,307.008487,0.483502,52.667398,763.506888,1.512582,48.207580,818.896019,-130.189625,122.013016,911.238266,-4.500407,86.987517,980.284459,120.788904,62.794157,45.622320,-145.072246,54.287709,39.991246,70.403471,41.333526,21.215632,-98.326514,47.339310,13.848464,75.466898,133.562123,1017.606255,-85.753436,145.726613,1017.749479,176.242373,115.348092,16.462652,-202.179073,120.803040,15.132860,-55.396813,64.309496,652.604856,125.064850,140.127113,911.325453,-4.370687,86.182936,939.131649,,,,,,
97,-4.146621,48.674728,619.701458,-123.401281,104.097775,583.343129,45.481515,63.711102,641.147789,-127.796698,65.871301,314.160070,101.747536,69.863779,307.058181,0.481298,52.825209,763.784226,1.558031,48.566028,819.170812,-130.187912,122.809287,911.241384,-4.528029,87.839682,980.268498,120.962653,62.604464,45.753038,-145.078476,54.309496,39.991026,70.383046,41.359158,21.202182,-98.308612,47.335507,13.835585,75.410538,134.544335,1017.426098,-85.695186,146.742734,1017.730802,176.205551,115.376646,16.436774,-202.161033,120.796957,15.155824,-55.411289,63.938222,652.711942,125.085059,140.887091,911.301769,-4.375113,86.990650,939.230466,,,,,,
98,-4.109444,48.260376,619.708022,-123.477793,103.624714,583.380924,45.471078,63.617138,641.189173,-127.757275,65.718367,314.151343,101.754533,69.721498,307.106961,0.497313,52.943140,764.120470,1.615713,49.006955,819.504674,-130.174312,123.654129,911.223979,-4.549033,88.809958,980.229395,121.199050,62.384138,45.893122,-145.069993,54.348429,39.989498,70.380087,41.361487,21.185467,-98.325507,47.370189,13.842182,75.439026,135.524712,1017.244335,-85.650540,147.893245,1017.650522,176.230562,115.363531,16.469502,-202.136169,120.791270,15.210802,-55.423847,63.533663,652.817182,125.118134,141.752381,911.249661,-4.402595,87.947033,939.366544,,,,,,
99,-4.082967,47.711632,619.671916,-123.506580,103.068543,583.400030,45.517449,63.337029,641.219243,-127.718490,65.527779,314.129326,101.741827,69.528475,307.163992,0.541927,53.017710,764.508126,1.670708,49.500666,819.898297,-130.157844,124.590893,911.184713,-4.580878,90.000235,980.176973,121.163172,62.440873,45.823785,-145.069598,54.385069,39.980676,70.396565,41.347494,21.170467,-98.314407,47.410577,13.846380,75.494989,136.609379,1017.054601,-85.606786,149.189123,1017.476636,176.268293,115.315199,16.473505,-202.117010,120.819480,15.242593,-55.443507,63.133680,652.917841,125.140411,142.672580,911.150912,-4.407404,89.059172,939.506715,,,,,,
100,-4.039089,47.088464,619.593507,-123.495010,102.375436,583.420170,45.616234,62.769393,641.260292,-127.648813,65.249648,314.094797,101.721844,69.352309,307.194615,0.608947,53.088307,764.922390,1.748223,50.015531,820.352464,-130.128091,125.615855,911.116393,-4.620700,91.410600,980.113146,121.045899,62.565629,45.723032,-145.075417,54.430604,39.979415,70.405252,41.351670,21.171214,-98.270083,47.429927,13.845078,75.534435,137.931432,1016.845845,-85.547818,150.652717,1017.244114,176.273479,115.283988,16.461834,-202.112654,120.879646,15.231444,-55.407368,62.561980,653.037805,125.145038,143.727218,911.026816,-4.370187,90.340777,939.624335,,,,,,
101,-3.978682,46.433681,619.528373,-123.475977,101.546005,583.459949,45.678224,62.092812,641.317963,-127.582584,64.942216,314.043214,101.715431,69.137682,307.197980,0.710827,53.154461,765.385704,1.844877,50.542941,820.863031,-130.065525,126.727115,911.048888,-4.633616,92.952475,980.043686,121.059537,62.574123,45.776156,-145.062620,54.467559,39.991967,70.400885,41.381791,21.183114,-98.239856,47.456765,13.852122,75.563076,139.505312,1016.636466,-85.509357,152.293762,1017.005216,176.242963,115.310319,16.480743,-202.099179,120.908374,15.232240,-55.350606,61.819145,653.185423,125.118022,145.086724,910.885773,-4.310633,91.761511,939.748434,,,,,,
102,-3.906465,45.684448,619.509088,-123.470874,100.659572,583.505018,45.719104,61.291440,641.422837,-127.537757,64.570118,313.983333,101.713433,68.796509,307.184000,0.840101,53.251075,765.903655,1.972604,51.120543,821.415035,-129.962570,128.005634,910.985441,-4.631330,94.638089,979.959109,120.961161,62.701609,45.728181,-145.014851,54.494674,40.012078,70.390922,41.461310,21.176114,-98.234282,47.510866,13.863379,75.556511,141.305663,1016.395092,-85.505935,154.160744,1016.761390,176.196107,115.391763,16.462939,-202.082481,120.893401,15.261375,-55.340510,61.031822,653.338764,125.144751,146.575429,910.694682,-4.250634,93.307754,939.898388,,,,,,
103,-3.837754,44.813575,619.536249,-123.491604,99.712044,583.555630,45.748951,60.356087,641.576161,-127.527382,64.085347,313.944008,101.714414,68.330166,307.165606,0.971269,53.401726,766.480685,2.106178,51.800248,822.015138,-129.855075,129.422603,910.912868,-4.641337,96.534785,979.852313,120.981186,62.663562,45.698038,-144.967100,54.505335,40.019576,70.398475,41.524385,21.175213,-98.235034,47.554843,13.858097,75.519343,143.349035,1016.082500,-85.497565,156.252459,1016.472184,176.148590,115.507502,16.399089,-202.079872,120.884402,15.277896,-55.331572,60.148442,653.527344,125.280791,148.029718,910.440052,-4.178848,95.017475,940.047771,,,,,,
104,-3.838187,43.842216,619.612201,-123.539831,98.634067,583.640945,45.789227,59.357859,641.739902,-127.516266,63.476265,313.910068,101.724095,67.733619,307.167764,1.116976,53.529570,767.129904,2.241371,52.563268,822.652222,-129.770747,130.892805,910.799281,-4.667111,98.622473,979.719657,121.121177,62.472986,45.754397,-144.939517,54.492875,40.007985,70.408432,41.532867,21.185382,-98.227085,47.601024,13.846409,75.479954,145.628219,1015.709314,-85.461094,158.567711,1016.129251,176.123975,115.568440,16.382893,-202.079438,120.883901,15.275327,-55.317318,59.099344,653.759323,125.457800,149.597323,910.128035,-4.089231,96.928781,940.194096,,,,,,
105,-3.910537,42.726250,619.713770,-123.624783,97.420145,583.749547,45.862269,58.303080,641.944258,-127.447851,62.699102,313.870240,101.724947,67.012643,307.180038,1.249641,53.583613,767.842942,2.450789,53.362864,823.338960,-129.676561,132.482117,910.639053,-4.692127,100.918662,979.541991,121.082354,62.498161,45.676661,-144.907038,54.472663,39.999482,70.404861,41.533078,21.181641,-98.205713,47.685926,13.846175,75.507238,148.084655,1015.255428,-85.391113,161.125686,1015.715640,176.144220,115.529255,16.415494,-202.082030,120.885055,15.294389,-55.330507,57.941183,654.021784,125.574188,151.363024,909.751041,-3.983016,99.078216,940.343166,,,,,,
106,-3.966957,41.432183,619.846594,-123.742786,96.106557,583.834556,45.935981,57.133288,642.239887,-127.347137,61.818644,313.816043,101.678650,66.219577,307.169744,1.343448,53.614563,768.623800,2.698475,54.234739,824.116169,-129.516704,134.261147,910.458844,-4.686693,103.471106,979.292487,121.043499,62.593892,45.571968,-144.875315,54.463441,39.984228,70.414856,41.506484,21.178698,-98.148758,47.728202,13.861918,75.581332,150.793578,1014.659211,-85.324094,163.870417,1015.213124,176.183773,115.468172,16.396486,-202.067385,120.906964,15.332361,-55.334866,56.668906,654.344793,125.646531,153.252185,909.325390,-3.834100,101.388547,940.423871,,,,,,
107,-3.968761,39.973170,620.054985,-123.867719,94.670306,583.876755,45.973844,55.772915,642.600936,-127.255727,60.827223,313.711028,101.584437,65.371849,307.116545,1.447026,53.684460,769.473580,2.892105,55.177954,824.963476,-129.333183,136.204792,910.196015,-4.652274,106.266930,978.975743,121.067075,62.646654,45.511979,-144.844210,54.435185,39.950108,70.463265,41.466012,21.189682,-98.114426,47.713776,13.879184,75.650870,153.840200,1013.923927,-85.252775,166.791724,1014.620537,176.238047,115.395297,16.359565,-202.036378,120.943466,15.344310,-55.315875,55.178029,654.722484,125.747044,155.285348,908.815642,-3.688985,103.844566,940.401619,,,,,,
108,-3.983315,38.368540,620.296357,-123.963282,93.028547,583.922049,45.931592,54.263363,642.928855,-127.215569,59.665242,313.594407,101.499141,64.423892,307.043962,1.579087,53.802057,770.374126,3.021221,56.209258,825.823397,-129.201652,138.305433,909.781909,-4.585584,109.278828,978.542677,121.071957,62.653593,45.440424,-144.772818,54.366055,39.915080,70.519898,41.451781,21.212282,-98.152969,47.749350,13.880553,75.733588,157.149294,1013.059349,-85.142126,170.008125,1013.884406,176.201027,115.458842,16.287477,-202.021404,120.939802,15.347705,-55.376195,53.667116,655.086948,125.833567,157.510683,908.192750,-3.518936,106.498530,940.306634,,,,,,
109,-4.034862,36.637231,620.510670,-124.024573,91.254358,583.999131,45.819965,52.679143,643.208141,-127.240221,58.404745,313.489804,101.437342,63.287426,306.978460,1.695940,53.930194,771.309365,3.162841,57.384839,826.706544,-129.080689,140.574710,909.241843,-4.490334,112.458231,977.930151,121.094891,62.579046,45.356827,-144.678808,54.280512,39.892673,70.556583,41.448614,21.227697,-98.160422,47.768116,13.868173,75.872073,160.615796,1012.036569,-85.023298,173.482821,1012.952537,176.083931,115.698656,16.194903,-202.025516,120.939127,15.350720,-55.500863,52.292994,655.396846,125.886282,159.938689,907.443169,-3.280054,109.365595,940.104962,,,,,,
110,-4.112874,34.801078,620.722329,-124.107723,89.403166,584.055625,45.684589,50.962009,643.542105,-127.265445,57.059498,313.361391,101.400718,61.944380,306.934307,1.734948,54.072050,772.280167,3.335173,58.671971,827.659683,-128.921111,143.016144,908.606847,-4.370625,115.797097,977.109712,121.148435,62.462910,45.300189,-144.608048,54.164152,39.855823,70.607123,41.432850,21.226729,-98.134495,47.716344,13.847485,76.041780,164.350057,1010.822424,-84.894733,177.124305,1011.816261,176.102866,115.723272,16.203788,-202.044168,120.941615,15.347771,-55.576666,50.728840,655.700430,125.949244,162.603595,906.489449,-3.055779,112.514704,939.760422,,,,,,
111,-4.249820,32.918386,620.974890,-124.191786,87.413488,584.018487,45.501295,49.212094,643.924111,-127.216050,55.533384,313.208627,101.366748,60.481623,306.895284,1.713684,54.270710,773.256380,3.451835,60.064264,828.625362,-128.767298,145.674291,907.855625,-4.225612,119.384207,975.981245,121.197665,62.370329,45.257429,-144.407140,54.174812,39.712730,70.687943,41.371545,21.230138,-98.081245,47.498058,13.867549,76.203489,168.331871,1009.383386,-84.765888,180.988132,1010.456664,176.159871,115.632382,16.202436,-202.064872,120.856246,15.367042,-55.705873,48.999273,656.051828,126.018458,165.456572,905.269369,-2.790797,115.871510,939.261989,,,,,,
112,-4.445264,31.061561,621.294053,-124.252527,85.384916,583.900751,45.259450,47.536627,644.261515,-127.134051,53.766458,313.021353,101.312269,58.959333,306.820358,1.685112,54.539909,774.201492,3.489238,61.534993,829.506777,-128.620313,148.576678,906.967675,-4.065667,123.207746,974.517775,121.260625,62.291508,45.193873,-144.074471,54.324400,39.480312,70.792473,41.266827,21.232787,-98.006177,47.099400,13.931764,76.401962,172.370356,1007.660459,-84.637577,185.053096,1008.824222,176.069931,115.824567,16.105879,-201.164738,122.410633,14.730233,-55.972445,47.489938,656.412805,126.116465,168.437282,903.724684,-2.462922,119.380166,938.609865,,,,,,
113,-4.693250,29.200879,621.664038,-124.356542,83.415032,583.781850,45.021548,45.754978,644.580956,-127.096127,51.823450,312.831595,101.258437,57.446299,306.706416,1.664733,54.843522,775.104963,3.509159,63.080066,830.327679,-128.468200,151.693280,905.942560,-3.896282,127.209501,972.736842,121.475018,62.040831,45.190925,-143.899024,54.294092,39.307222,70.906471,41.157114,21.227186,-98.034151,46.812919,13.955635,76.581431,176.525241,1005.684647,-84.435687,189.263943,1006.913400,176.027572,115.936067,15.949607,-200.872302,122.914203,14.489520,-56.213281,45.959938,656.770623,126.206757,171.573866,901.847856,-2.166785,123.100894,937.817277,,,,,,
114,-4.972711,27.349591,622.074347,-124.518169,81.502163,583.690362,44.832807,43.946230,644.902189,-127.062711,49.783514,312.626990,101.197888,55.861256,306.566925,1.673250,55.159662,775.942738,3.527218,64.691155,831.127703,-128.336831,155.036736,904.726853,-3.720379,131.350039,970.597383,122.325787,60.899539,45.398833,-143.865822,54.113261,39.194950,71.018628,41.015174,21.223970,-98.109589,46.665550,13.938256,76.739927,180.756507,1003.513467,-84.190576,193.573910,1004.778023,176.122338,115.795923,15.837763,-200.895773,122.859050,14.447136,-56.408304,44.277570,657.129167,126.283269,174.858508,899.650834,-1.899061,126.967596,936.834938,,,,,,
115,-5.196756,25.561665,622.478640,-124.714708,79.627760,583.603167,44.648955,42.263389,645.192092,-126.966134,47.669035,312.356502,101.122222,54.103544,306.409946,1.718211,55.506168,776.738828,3.502612,66.372075,831.864314,-128.214023,158.533274,903.245480,-3.533714,135.506101,968.158365,123.595676,59.139989,45.698429,-143.966940,53.794283,39.156478,71.151205,40.838987,21.224745,-98.231052,46.679112,13.898729,76.944970,184.954608,1001.128599,-83.937205,197.921703,1002.426884,176.140447,115.846070,15.829943,-201.237669,122.317683,14.595770,-56.660307,42.731161,657.454177,126.101052,178.781702,897.005490,-1.623050,130.872919,935.644933,,,,,,
