bleuenn-std-03
Date:,2012/11/24
Time:,11:05:45
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LASI,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD-1,,,Patient1:C7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-3.805358,49.579458,619.407991,-122.910707,105.191645,583.164829,45.281614,65.302064,640.792698,-127.664260,67.127137,313.766598,100.568658,69.348276,306.202996,-0.100357,51.183141,762.537087,0.137520,46.027503,818.108764,-130.984876,120.488545,913.219459,-3.103235,81.439624,978.358173,120.260665,62.673748,45.578682,-144.038547,54.146033,40.436227,70.288031,41.625193,21.452759,-98.042766,47.846504,14.067961,75.536620,130.120426,1016.856079,-85.980262,136.352240,1018.471698,176.417744,115.324369,16.691067,-202.262516,120.952825,15.208408,-55.030916,64.774133,652.216476,123.452588,138.972242,912.993668,-4.941248,81.932625,939.162930,,,,,,
12,-3.871192,49.585170,619.406123,-122.951877,105.138953,583.156930,45.216590,65.289091,640.769427,-127.725205,67.109356,313.756306,100.541011,69.389946,306.182375,-0.104542,51.195092,762.538329,0.154211,46.002349,818.094943,-130.960644,120.300845,913.247265,-3.072866,81.272688,978.329085,120.217080,62.700298,45.582551,-144.030544,54.143062,40.435716,70.269892,41.651680,21.437523,-98.028165,47.837638,14.049523,75.550533,129.942179,1016.870260,-85.954599,136.183939,1018.520551,176.412320,115.314418,16.677953,-202.246957,120.959987,15.240746,-55.085110,64.767132,652.215145,123.451702,138.959797,912.989142,-4.934985,81.875904,938.912768,,,,,,
13,-3.928410,49.587870,619.404599,-122.985612,105.137247,583.159202,45.177782,65.265310,640.750321,-127.782688,67.095116,313.761004,100.504671,69.431625,306.181442,-0.098221,51.172431,762.526436,0.181450,45.941542,818.070587,-130.927126,120.105130,913.291542,-3.052333,81.100427,978.311728,120.211979,62.718901,45.576628,-144.024955,54.140474,40.433356,70.280359,41.652033,21.427481,-97.999407,47.836109,14.028070,75.556780,129.782366,1016.890226,-85.928066,136.017152,1018.550006,176.362134,115.324444,16.663370,-202.246728,120.981211,15.264460,-55.148560,64.752265,652.220923,123.458002,138.938052,912.959629,-4.948451,81.810798,938.443246,,,,,,
14,-3.989008,49.580939,619.404307,-123.030540,105.122577,583.177753,45.135761,65.256424,640.743563,-127.828068,67.086354,313.773075,100.457477,69.473056,306.187999,-0.126431,51.159726,762.501539,0.189002,45.897639,818.049443,-130.878955,119.886050,913.349598,-3.056094,80.938102,978.322957,120.237971,62.739073,45.567616,-144.028600,54.140654,40.437837,70.291612,41.620013,21.433831,-98.000328,47.863503,14.017162,75.629931,129.519200,1016.908586,-85.921413,135.874624,1018.567418,176.339855,115.298832,16.673361,-202.256031,120.955687,15.297801,-55.207882,64.765497,652.222735,123.464073,138.928228,912.890140,-4.900281,81.704440,938.194968,,,,,,
15,-4.042718,49.552256,619.407110,-123.084045,105.091199,583.164196,45.181330,64.990921,640.795271,-127.873741,67.081237,313.782190,100.444241,69.495200,306.189401,-0.160768,51.153371,762.483087,0.176345,45.868001,818.023478,-130.833889,119.658486,913.405808,-3.071546,80.767380,978.357296,120.226013,62.751986,45.561773,-144.032437,54.141290,40.443833,70.275135,41.628052,21.430485,-98.025987,47.883806,14.011506,75.689202,129.256116,1016.919291,-85.896340,135.749146,1018.589664,176.336316,115.283206,16.682553,-202.257632,120.934074,15.303475,-55.244741,64.764933,652.214719,123.467323,138.920534,912.816955,-4.875555,81.602111,938.166429,,,,,,
16,-4.074642,49.542609,619.402365,-123.135413,105.085539,583.146245,45.213708,64.815954,640.815116,-127.917995,67.078372,313.791370,100.452995,69.536212,306.194837,-0.190789,51.143463,762.467625,0.167987,45.815124,817.989604,-130.810529,119.434964,913.440030,-3.079944,80.591650,978.384239,120.198973,62.735657,45.563574,-144.033806,54.142331,40.437168,70.247375,41.633579,21.422398,-98.052165,47.880851,14.022430,75.659890,129.094040,1016.921917,-85.870660,135.601607,1018.616304,176.335275,115.285783,16.688100,-202.249930,120.937986,15.275808,-55.278798,64.739696,652.204986,123.452495,138.885615,912.746028,-4.895004,81.509722,938.134476,,,,,,
17,-4.094645,49.562820,619.380722,-123.169919,105.082935,583.145069,45.024244,65.283460,640.918534,-127.972845,67.081361,313.796990,100.439222,69.612993,306.215276,-0.230621,51.115706,762.436138,0.173100,45.755774,817.969963,-130.825315,119.234586,913.460647,-3.095592,80.413647,978.405685,120.156648,62.783930,45.563183,-144.044869,54.154476,40.427285,70.249688,41.607410,21.426237,-98.077275,47.870085,14.026606,75.637102,128.922030,1016.925563,-85.864181,135.435332,1018.648251,176.322320,115.281101,16.695468,-202.251584,120.940032,15.268057,-55.334020,64.741501,652.191477,123.430819,138.785783,912.658242,-4.860284,81.388515,938.108627,,,,,,
18,-4.114626,49.569628,619.363607,-123.211499,105.096617,583.141587,44.831527,65.814814,641.250275,-128.020541,67.087246,313.802120,100.423331,69.652993,306.236664,-0.248834,51.077125,762.403620,0.170591,45.701397,817.937890,-130.852251,119.060470,913.485847,-3.114304,80.239715,978.410216,120.121873,62.867854,45.563701,-144.064988,54.160247,40.419263,70.253651,41.605839,21.418883,-98.051548,47.836957,14.012030,75.657956,128.679809,1016.934146,-85.865025,135.263142,1018.676577,176.215732,115.415285,16.625435,-202.261765,120.934551,15.280172,-55.389232,64.768255,652.179649,123.449547,138.640571,912.579343,-4.796370,81.235261,938.096240,,,,,,
19,-4.140037,49.577293,619.341717,-123.261877,105.132069,583.136023,44.720086,66.136493,641.451594,-128.035680,67.111712,313.798641,100.420949,69.670966,306.242727,-0.260556,51.074185,762.381552,0.151441,45.642962,817.876572,-130.857680,118.861574,913.513206,-3.128095,80.099979,978.394304,120.165120,62.828406,45.593629,-144.068526,54.164035,40.413534,70.229698,41.620413,21.410208,-98.012777,47.797822,14.001300,75.685545,128.428411,1016.942304,-85.876005,135.104596,1018.719058,176.155295,115.517928,16.591358,-202.266875,120.929481,15.288772,-55.429579,64.794511,652.172581,123.466073,138.515391,912.531911,-4.767116,81.083250,938.075539,,,,,,
20,-4.170401,49.611278,619.301883,-123.293439,105.132785,583.136799,44.759092,65.956327,641.256954,-128.040468,67.153905,313.796857,100.443256,69.711969,306.237282,-0.292232,51.091342,762.344931,0.134117,45.580519,817.835004,-130.855707,118.631348,913.535269,-3.157004,79.970356,978.389106,120.212720,62.739877,45.631185,-144.056429,54.191400,40.414117,70.208638,41.636172,21.425133,-98.027572,47.824227,14.000319,75.701139,128.235669,1016.948069,-85.889397,134.964421,1018.773331,176.738324,114.593774,17.022350,-202.266485,120.933596,15.299142,-55.448550,64.801443,652.153175,123.432306,138.427159,912.487437,-4.760830,80.942814,938.048202,,,,,,
