bleuenn-std-02
Date:,2012/11/24
Time:,11:05:17
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:RTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:RANK,,,Patient1:RHEE,,,Patient1:LANK,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:RSHO,,,Patient1:C7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,101.467255,132.590729,564.311340,3.001531,61.818657,616.806946,52.050266,76.916634,637.110535,-47.771145,74.795349,649.145142,-116.346169,116.546379,583.550720,9.576208,46.232296,750.559326,103.956772,80.537186,307.037628,-121.533508,75.422684,314.614807,11.755597,31.858240,804.479248,-115.972404,99.502327,914.340698,9.436193,60.769871,980.221558,-71.817993,123.216080,1014.212036,88.474937,108.378853,1019.076050,116.453880,62.787544,45.959675,64.503532,46.536163,21.082911,-138.493958,56.160004,40.883732,-91.546280,51.890079,14.132581,176.985214,107.255661,20.636816,-198.858002,120.632576,15.541821,140.673584,107.942215,906.015625,8.366591,53.753300,934.571533
12,101.533440,132.411514,564.358154,3.028375,61.648109,616.814758,52.056187,76.773170,637.128113,-47.745338,74.676895,649.155701,-116.338249,116.440338,583.525024,9.582450,46.134499,750.599182,104.004715,80.483612,307.058197,-121.527412,75.391235,314.622986,11.773379,31.748182,804.528137,-115.969589,99.427559,914.343628,9.452457,60.729565,980.261780,-71.855713,123.180740,1014.199890,88.456924,108.331566,1019.128296,116.449348,62.777649,45.946537,64.510887,46.511551,21.089270,-138.505692,56.161316,40.869656,-91.583099,51.894375,14.147100,176.982407,107.230026,20.634363,-198.860840,120.636909,15.551440,140.768448,107.696220,906.026367,8.377338,53.684299,934.583191
13,101.621162,132.154831,564.385925,3.044935,61.472069,616.815247,52.009125,76.781738,637.184998,-47.731377,74.521034,649.152344,-116.310860,116.329163,583.501282,9.585698,46.013050,750.638794,104.053879,80.391670,307.084503,-121.518547,75.359558,314.615448,11.773725,31.628572,804.581299,-115.981705,99.350220,914.346130,9.452073,60.650860,980.338684,-71.889626,123.125618,1014.200745,88.480705,108.237053,1019.180298,116.482132,62.752403,45.921471,64.510529,46.499992,21.081249,-138.500580,56.167259,40.862793,-91.598946,51.843277,14.152220,176.990585,107.209969,20.644320,-198.853638,120.621346,15.591658,140.754852,107.599487,906.033081,8.338459,53.647507,934.598206
14,101.705803,131.904831,564.423828,3.050791,61.314323,616.820007,51.736668,77.352608,637.323425,-47.736904,74.400497,649.145752,-116.277313,116.203384,583.500366,9.590322,45.884483,750.684448,104.106369,80.290680,307.108521,-121.522423,75.343178,314.579773,11.743105,31.567945,804.630066,-115.995461,99.297752,914.364624,9.413021,60.572273,980.411926,-71.936974,123.060959,1014.213440,88.456276,108.200294,1019.238953,116.513863,62.724583,45.909237,64.508476,46.500572,21.064545,-138.506851,56.164631,40.849228,-91.566696,51.820328,14.142051,176.984695,107.233261,20.649309,-198.852585,120.619026,15.615355,140.743347,107.525047,906.044006,8.282078,53.604900,934.626770
15,101.714256,131.754959,564.455872,3.024661,61.165958,616.830750,51.560547,77.577957,637.355042,-47.754772,74.319824,649.151428,-116.258759,116.107201,583.508728,9.582695,45.777573,750.733154,104.180092,80.214951,307.126770,-121.528442,75.338150,314.541626,11.702647,31.498934,804.677856,-116.006721,99.229401,914.379700,9.395576,60.524540,980.459229,-72.000809,123.026749,1014.238647,88.376076,108.270569,1019.277405,116.491348,62.758873,45.884998,64.509003,46.501476,21.060295,-138.526978,56.155743,40.844543,-91.571365,51.853699,14.099692,176.970123,107.259361,20.638935,-198.857910,120.619904,15.608051,140.728760,107.453094,906.054626,8.293950,53.543083,934.649780
16,101.592064,131.783920,564.423218,2.980742,61.029083,616.827820,51.874043,76.527046,637.319763,-47.760292,74.177086,649.170105,-116.243927,116.005135,583.511780,9.549774,45.684856,750.775574,104.254509,80.175758,307.137451,-121.521996,75.311707,314.526703,11.678401,31.406044,804.736145,-116.027580,99.149178,914.396179,9.362744,60.485283,980.526672,-72.049759,122.982086,1014.252991,88.325829,108.290520,1019.320129,116.470955,62.787464,45.867928,64.510544,46.499798,21.043402,-138.529251,56.150513,40.848709,-91.621742,51.878235,14.085873,176.972168,107.238243,20.637987,-198.863251,120.620781,15.600747,140.722183,107.324539,906.059326,8.276175,53.492191,934.686829
17,101.749649,131.389694,564.505554,2.970884,60.894531,616.820984,52.148083,75.608704,637.360657,-47.765141,74.029350,649.169250,-116.250381,115.907631,583.501221,9.499930,45.590046,750.818115,104.299568,80.144707,307.146515,-121.529083,75.261177,314.527710,11.644904,31.335669,804.775940,-116.057526,99.103065,914.429382,9.311946,60.432602,980.603210,-72.081139,122.909065,1014.248718,88.307640,108.224510,1019.371338,116.505653,62.745396,45.883652,64.522789,46.484886,21.021381,-138.526642,56.149666,40.849049,-91.627769,51.861568,14.112111,176.992325,107.206100,20.655481,-198.860336,120.621834,15.613723,140.706146,107.215263,906.074158,8.213713,53.451565,934.731323
18,101.791733,131.188644,564.534180,2.969631,60.740341,616.830750,52.038769,75.613121,637.303955,-47.772839,73.927475,649.167908,-116.286652,115.846619,583.489136,9.454937,45.492981,750.849060,104.343903,80.077133,307.163147,-121.541428,75.209732,314.537689,11.599762,31.277040,804.804199,-116.079575,99.083580,914.457947,9.270725,60.385471,980.667480,-72.118584,122.856049,1014.254639,88.279724,108.178329,1019.410278,116.541985,62.711342,45.886753,64.529533,46.473206,21.023619,-138.528854,56.149605,40.845680,-91.559502,51.796303,14.120842,176.995087,107.206078,20.662649,-198.859894,120.620178,15.637459,140.661835,107.153381,906.117859,8.174527,53.416809,934.777283
19,101.748924,131.161453,564.534424,2.944375,60.624538,616.854065,51.909100,75.686150,637.239441,-47.790108,73.819229,649.181763,-116.290001,115.766541,583.484436,9.429356,45.399220,750.887146,104.397659,79.991631,307.185760,-121.526512,75.157219,314.557007,11.569324,31.202328,804.848083,-116.092606,99.044975,914.469238,9.195257,60.355465,980.747070,-72.144882,122.837395,1014.268188,88.261734,108.131027,1019.462524,116.530296,62.728680,45.875687,64.527077,46.473927,21.021671,-138.538559,56.160751,40.842449,-91.522507,51.778240,14.111024,176.973740,107.210609,20.667442,-198.864853,120.596893,15.659017,140.614243,107.079918,906.174438,8.102036,53.403690,934.831909
20,101.776039,131.022247,564.542419,2.912008,60.558678,616.877014,51.879517,75.580811,637.263550,-47.810539,73.734146,649.192993,-116.262741,115.651703,583.482788,9.403997,45.322884,750.934387,104.436569,79.928352,307.189697,-121.505196,75.110306,314.561432,11.542627,31.124863,804.881287,-116.118050,99.000328,914.471558,9.132517,60.326920,980.804688,-72.178017,122.829636,1014.248962,88.222832,108.095375,1019.515747,116.519592,62.740528,45.880203,64.530830,46.471817,21.000183,-138.560928,56.184807,40.838680,-91.572067,51.815399,14.106603,176.971237,107.198662,20.678402,-198.863220,120.576988,15.666803,140.559418,107.017410,906.214844,8.032966,53.365639,934.865723
