BLEUENN G 16
Date:,2012/11/24
Time:,11:22:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LSHO,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:RSHO,,,Patient1:LHEE,,,Patient1:C7,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,29.457201,386.796722,682.161072,-94.051033,433.788727,646.795593,125.120728,458.402313,630.987122,73.296181,404.792145,707.426819,-26.600998,401.469971,717.348999,-116.415604,387.015808,386.981537,140.226624,388.980713,381.141693,28.011982,386.285248,825.361145,29.133322,378.775604,880.750000,167.669388,364.382507,122.009575,-105.601723,446.940399,971.735229,-162.189331,372.552307,114.573074,124.561653,331.402802,94.332428,152.032898,483.483124,975.283386,-118.450157,358.413971,86.734192,25.094992,414.832153,1005.666321,-205.214127,452.705994,89.397308,29.712963,418.897308,1053.818726,-54.511150,479.855713,1085.562012,106.482414,474.450378,1084.659058,236.541595,178.899521,75.808586,-254.489044,196.007324,74.050484,244.049973,690.230347,85.547592,-229.554031,704.300903,85.188889,209.263138,431.754608,92.082855
12,29.403053,387.002380,682.173279,-94.059677,434.089752,646.774048,125.148697,458.533508,631.005554,73.259361,404.915619,707.429382,-26.651615,401.704407,717.348572,-116.373543,387.096832,386.995636,140.205017,389.011871,381.180328,27.961103,386.404266,825.341003,29.084526,378.901703,880.741882,167.701279,364.326874,122.089226,-105.602287,447.198730,971.711182,-162.196381,372.585907,114.606758,124.529778,331.491913,94.404366,152.050339,483.477966,975.269958,-118.454079,358.508179,86.768806,25.038641,414.957214,1005.651855,-205.198669,452.791290,89.349426,29.709154,419.052582,1053.798584,-54.469288,480.005554,1085.592773,106.542465,474.454865,1084.659302,236.551910,178.918732,75.977264,-254.504700,196.063644,74.207283,244.042160,690.250610,85.381104,-229.570709,704.358337,84.977234,209.173553,431.986908,92.094872
13,29.362158,387.206085,682.168457,-94.087578,434.400299,646.761475,125.145561,458.677399,631.053955,73.222069,405.091827,707.437012,-26.670757,401.934021,717.352356,-116.373764,387.192627,387.026276,140.169937,389.046722,381.184784,27.893213,386.577454,825.332031,29.042002,379.008789,880.732666,167.720825,364.316345,122.138702,-105.629417,447.480621,971.669312,-162.195724,372.635376,114.633842,124.498276,331.592743,94.471527,152.063416,483.520813,975.254883,-118.465195,358.590088,86.831131,24.987024,415.102356,1005.620300,-205.155396,452.855133,89.303345,29.695314,419.205139,1053.803345,-54.446346,480.181519,1085.600220,106.546921,474.558777,1084.659546,236.545166,178.961960,76.161644,-254.508911,196.120850,74.381897,244.023224,690.273499,85.215057,-229.553787,704.407349,84.707497,209.181946,431.995178,92.121002
14,29.292442,387.410339,682.178467,-94.118164,434.642487,646.766052,125.148697,458.785400,631.073059,73.195412,405.252899,707.457214,-26.705961,402.162415,717.343445,-116.389275,387.295471,387.044525,140.149582,389.082123,381.205231,27.821230,386.772339,825.316956,28.986370,379.137054,880.716797,167.700226,364.396179,122.187126,-105.664032,447.785187,971.623596,-162.189087,372.738129,114.651466,124.471504,331.657379,94.574051,152.090881,483.532593,975.255310,-118.495781,358.622131,86.926147,24.939558,415.245636,1005.598389,-205.105072,452.948914,89.259109,29.669283,419.321808,1053.809326,-54.470566,480.345367,1085.617798,106.518044,474.693176,1084.660278,236.536560,179.055466,76.352989,-254.510452,196.222824,74.560875,244.001038,690.356445,85.009262,-229.490860,704.450562,84.369209,209.216797,432.025452,92.126945
15,29.223122,387.588928,682.226318,-94.147957,434.878296,646.761658,125.163734,458.888214,631.061157,73.159866,405.400757,707.478333,-26.794390,402.448303,717.328064,-116.408585,387.432678,387.052399,140.114288,389.120239,381.247711,27.763435,386.952240,825.310974,28.912510,379.323669,880.696960,167.710373,364.485107,122.250000,-105.710587,448.069763,971.580811,-162.188278,372.839355,114.681068,124.452049,331.740723,94.688065,152.115204,483.578217,975.241028,-118.529205,358.673645,87.020714,24.896004,415.400085,1005.606140,-205.067352,453.109253,89.185921,29.620626,419.471527,1053.817749,-54.488708,480.543732,1085.644043,106.539101,474.760651,1084.668091,236.556808,179.144424,76.571869,-254.503799,196.321487,74.767387,244.014023,690.426636,84.765182,-229.247269,704.830750,83.842323,209.259003,432.062958,92.136314
16,29.147335,387.760986,682.269165,-94.173828,435.144501,646.762085,125.144226,459.035004,631.058289,73.085815,405.561920,707.505371,-26.874443,402.698730,717.346069,-116.459084,387.578186,387.084167,140.063705,389.170746,381.283112,27.698336,387.151825,825.343750,28.834108,379.536255,880.693909,167.450394,365.360809,122.248894,-105.750671,448.339447,971.553589,-162.204590,372.949463,114.726837,124.447708,331.877991,94.784973,152.146591,483.660828,975.225220,-118.546127,358.784424,87.097328,24.858398,415.611511,1005.627930,-205.062317,453.223145,89.154060,29.553951,419.686951,1053.855835,-54.494850,480.797363,1085.660645,106.527596,474.914978,1084.708984,236.582626,179.201355,76.826546,-254.499268,196.430267,75.009178,244.062881,690.460693,84.491615,-228.789505,705.604553,83.188133,209.264847,432.101563,92.165413
17,29.029293,387.959381,682.299805,-94.226959,435.442780,646.783875,125.131027,459.132599,631.090637,72.979065,405.686523,707.540771,-26.952545,402.891571,717.395203,-116.541237,387.729340,387.118958,140.025864,389.224060,381.337341,27.613312,387.353485,825.389709,28.771854,379.750977,880.718445,166.579819,367.850677,122.124870,-105.765732,448.651306,971.558228,-162.220276,373.072205,114.784386,124.444160,332.034576,94.910538,152.175476,483.724487,975.234131,-118.536110,358.905701,87.182472,24.809643,415.846527,1005.669006,-205.144012,453.237701,89.194229,29.512484,419.897827,1053.905762,-54.512058,481.065033,1085.694580,106.474197,475.125214,1084.765381,236.592361,179.292557,77.098244,-254.514572,196.566788,75.284500,244.079681,690.572571,84.220116,-228.494156,706.085205,82.716698,208.959824,433.083008,92.410133
18,28.924252,388.174469,682.348816,-94.318062,435.769592,646.806519,125.115074,459.185638,631.150391,72.886375,405.765686,707.583862,-27.060764,403.148682,717.453979,-116.610092,387.918976,387.154663,139.973816,389.314941,381.418976,27.519663,387.529358,825.431335,28.721760,379.958374,880.792847,166.538849,368.035675,122.177193,-105.769936,448.974121,971.582703,-162.201614,373.202789,114.852348,124.424820,332.223419,95.078255,152.191360,483.851746,975.262939,-118.505913,359.008575,87.282745,24.755590,416.061035,1005.736938,-205.155563,453.355774,89.173134,29.494484,420.096588,1053.957031,-54.542503,481.353119,1085.749146,106.461075,475.261292,1084.807251,236.584854,179.426178,77.382866,-254.502304,196.656219,75.617386,244.062347,690.767456,83.924927,-228.451233,706.201294,82.400169,208.878357,433.512878,92.458679
19,28.816200,388.391785,682.412781,-94.404831,436.095337,646.841125,125.076447,459.254608,631.223877,72.799255,405.883179,707.653809,-27.162989,403.429138,717.531799,-116.663780,388.166504,387.197235,139.906235,389.450012,381.504883,27.433249,387.702606,825.497375,28.653843,380.166443,880.890198,166.620468,368.049957,122.304489,-105.778313,449.282837,971.626099,-162.171005,373.379852,114.907532,124.391594,332.438141,95.229355,152.207291,484.021332,975.315552,-118.498474,359.133698,87.396049,24.708857,416.308899,1005.803284,-205.113464,453.566833,89.113945,29.459986,420.325836,1054.028320,-54.547321,481.669525,1085.786621,106.468719,475.403351,1084.876953,236.594543,179.543091,77.722954,-254.467209,196.729614,75.992310,244.062653,690.927673,83.571877,-228.432297,706.343872,82.049431,208.907455,433.689575,92.435234
20,28.684544,388.595581,682.475525,-94.474762,436.414673,646.914246,125.050438,459.303650,631.328918,72.695305,406.068665,707.746399,-27.254612,403.652954,717.635010,-116.735687,388.455719,387.254791,139.859695,389.571442,381.595581,27.347031,387.893768,825.596130,28.561779,380.396179,880.964844,166.695068,368.051422,122.446465,-105.777229,449.643097,971.705811,-162.176025,373.605896,114.959656,124.380615,332.624268,95.366219,152.208649,484.181396,975.393311,-118.524780,359.315613,87.516983,24.674559,416.583282,1005.864380,-205.135071,453.772522,89.090355,29.403101,420.587616,1054.122681,-54.556145,482.010529,1085.816650,106.433128,475.672302,1084.968994,236.571747,179.676407,78.102913,-254.451508,196.845322,76.359055,244.064117,691.077881,83.164055,-228.440811,706.523315,81.680290,208.945587,433.830963,92.428658
