bleuenn-ank-03
Date:,2012/11/24
Time:,11:54:39
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:BALAVG,,,Patient1:BALARG,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RTOE,,,Patient1:BHD,,,Patient1:T7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-117.760828,276.177503,384.379161,133.062666,290.975554,378.263463,120.317313,299.110460,644.865856,-100.748329,285.548445,665.034019,23.781016,238.215218,709.877994,68.537063,271.230903,737.983851,-63.652145,301.035771,745.615304,9.679805,382.353162,822.563327,-138.139340,315.868345,116.790330,155.146951,339.813464,121.716755,115.851181,302.467200,99.490387,-97.668646,296.264256,91.508842,-171.498696,401.142002,90.739175,-133.647519,510.930539,841.416442,120.701138,546.369075,850.363511,-4.313375,498.015801,893.323186,-239.756389,224.247281,86.172442,245.857573,221.930523,87.666020,-239.311555,550.183412,72.254368,245.413698,548.651955,73.190810,-93.926987,538.464464,950.853904,66.437097,542.952810,950.761857,4.631458,419.213601,845.147716,186.820464,412.400107,88.549974,,,,,,
12,-117.791667,275.316811,384.079810,133.071979,290.029825,378.050931,120.388018,297.971563,644.527136,-100.636460,285.022819,664.721626,23.695414,237.772557,709.996670,68.471413,271.043061,737.859016,-63.636102,301.086330,745.102916,9.572028,383.364124,820.944974,-138.194658,315.542268,116.674358,155.178409,339.542818,121.651407,115.873185,302.216751,99.270017,-97.766598,295.964032,91.275371,-171.601624,400.862032,90.759308,-133.926073,511.740050,837.962131,120.656597,547.522822,846.428933,-4.450332,499.313053,890.234297,-239.754026,223.974128,85.780180,245.782432,221.758298,87.214973,-239.349146,549.984792,72.638772,245.389028,548.476509,73.588224,-94.035643,540.059654,947.412963,66.315009,544.688370,947.352803,4.435812,420.398362,843.095210,186.741750,412.369497,88.544982,,,,,,
13,-117.743100,274.511929,383.757943,132.891141,289.380906,377.829157,120.488240,296.628765,644.202126,-100.099810,285.398970,664.131696,23.462251,237.371209,710.088989,68.295099,270.877602,737.689974,-63.662876,301.310918,744.507174,9.462506,384.267084,819.432183,-138.268250,315.029414,116.489271,155.174071,339.072774,121.507994,115.818922,301.746999,98.873070,-97.882159,295.459812,90.861223,-171.735892,400.284348,90.843032,-134.155943,512.452003,834.921312,120.649079,548.502856,842.688257,-4.570112,500.540316,887.390189,-239.739942,223.518657,85.085683,245.730788,221.402708,86.395540,-239.340495,549.585635,73.321987,245.439236,548.085765,74.336879,-94.171805,541.446265,944.339080,66.329209,546.116236,944.189907,4.324216,421.559106,841.068572,186.694515,411.947093,88.686054,,,,,,
14,-117.657214,273.699204,383.454027,132.722452,288.686603,377.609824,120.501757,295.488526,643.873669,-99.888087,285.460119,663.580995,23.182532,237.007681,710.168761,68.102101,270.755796,737.497944,-63.721583,301.594468,743.902947,9.373582,385.161685,817.980548,-138.309435,314.292987,116.275235,155.103929,338.430231,121.240909,115.647729,301.118322,98.275958,-97.951405,294.775304,90.324459,-171.749529,399.587367,90.957518,-134.337100,513.185604,832.192814,120.676378,549.380376,839.201239,-4.592504,501.767164,884.768526,-239.678520,222.972769,84.089956,245.818179,220.793905,85.365579,-239.256908,549.092107,74.177652,245.532232,547.519275,75.335941,-94.290960,542.720695,941.527563,66.328674,547.607917,941.209847,4.262880,422.635275,839.193333,186.616039,411.493571,88.762082,,,,,,
15,-117.590585,272.791060,383.199440,132.706941,287.672331,377.362089,120.428137,294.668257,643.549625,-100.054230,285.084943,663.180284,22.951155,236.719244,710.231817,67.944536,270.685363,737.301202,-63.802514,301.795553,743.364877,9.329872,386.031965,816.655529,-137.949736,313.378980,115.646159,155.012998,337.531419,120.886095,115.403293,300.325582,97.539131,-97.850140,293.923788,89.654167,-171.836727,398.604658,91.124408,-134.474939,513.966279,829.686161,120.715649,550.208435,835.945850,-4.623014,502.958761,882.343779,-239.648537,222.320907,82.801267,245.917008,220.027859,84.114269,-239.427681,548.367321,75.705713,245.610471,546.836844,76.546774,-94.348729,544.046143,938.874457,66.030705,549.635022,938.378915,4.240318,423.571592,837.501172,186.681109,410.472338,89.032182,,,,,,
16,-117.499344,271.708264,382.943312,132.999408,286.164819,377.212432,120.302139,294.147690,643.183289,-100.195005,284.836383,662.835572,22.801970,236.522491,710.266295,67.857555,270.669710,737.091181,-63.887488,301.923505,742.898483,9.316571,386.756422,815.499900,-137.220378,312.445884,114.490518,154.920682,336.346270,120.491857,115.317060,299.270120,96.768010,-97.675782,292.964026,88.814744,-171.836345,397.649070,91.369388,-134.585670,514.688610,827.383118,120.640185,551.201071,832.856979,-4.731612,504.061711,880.097425,-239.671617,221.541436,81.363636,245.899528,219.203809,82.659767,-239.630994,547.563602,77.239639,245.607026,546.113372,77.975713,-94.384409,545.393023,936.420228,65.805736,551.426875,935.706346,4.212738,424.405629,835.956217,186.930185,408.945327,89.325073,,,,,,
17,-117.366335,270.583307,382.589327,133.746005,283.869809,377.245989,120.180070,293.888634,642.793596,-100.286414,284.627845,662.561159,22.728920,236.401063,710.268193,67.839701,270.709925,736.871235,-63.948883,302.054254,742.515658,9.281211,387.386950,814.465411,-136.753871,311.405404,113.600058,154.789289,335.060084,120.058419,115.374931,298.075991,95.981351,-97.553992,291.972212,87.921582,-171.583545,396.911843,91.614150,-134.692990,515.296601,825.253454,120.490959,552.308533,830.047304,-4.794194,505.149225,878.037708,-239.686718,220.688672,79.896694,245.845831,218.340574,81.121807,-239.732564,546.675902,78.793983,245.505307,545.352293,79.557741,-94.468078,546.608101,934.190121,65.874153,552.570949,933.291969,4.147266,425.146298,834.565909,187.104634,407.547692,89.630943,,,,,,
18,-117.234596,269.598033,382.189131,134.525919,281.452239,377.221179,120.114212,293.657796,642.477839,-100.345255,284.343495,662.347424,22.716973,236.298508,710.261331,67.858592,270.797433,736.664867,-63.996363,302.198383,742.181562,9.169559,387.990753,813.523584,-136.596725,310.229336,113.122951,154.705523,333.863664,119.633560,115.386742,296.978777,95.200888,-97.480038,291.099585,87.123754,-171.383800,396.101880,91.746574,-134.825980,515.788476,823.250123,120.368961,553.252607,827.608760,-4.851707,506.201065,876.252200,-239.669266,219.839695,78.427729,245.849281,217.487603,79.639547,-239.719870,545.734154,80.377928,245.440588,544.496276,81.124011,-94.603596,547.708666,932.126641,65.784183,553.935381,931.178385,4.049081,425.813484,833.308577,186.854709,406.996829,89.688480,,,,,,
19,-117.092140,268.750850,381.874139,134.932773,279.775372,377.111831,120.069712,293.411769,642.221792,-100.397938,283.995667,662.157124,22.753707,236.158527,710.278023,67.889236,270.857771,736.495847,-64.038657,302.333958,741.844780,9.039034,388.537216,812.634163,-136.492320,309.160784,112.719473,154.685015,332.862421,119.296713,115.371455,296.051746,94.554140,-97.422697,290.414295,86.444181,-171.370305,395.205345,91.861211,-134.959889,516.241700,821.386454,120.302224,553.919438,825.416653,-4.990377,507.184178,874.542022,-239.643132,219.115345,77.129842,245.863113,216.741950,78.415970,-239.695566,544.978689,81.736276,245.468055,543.677436,82.449669,-94.752761,548.890963,930.271199,65.314545,555.846708,929.231789,3.958257,426.460977,832.122858,186.814816,406.198804,89.807836,,,,,,
20,-116.937354,267.971320,381.661140,134.934727,279.039665,376.985794,120.062816,293.085435,642.027709,-100.468945,283.606275,661.942528,22.772255,235.960350,710.314497,67.877316,270.865218,736.379455,-64.065410,302.419402,741.511365,8.942609,389.029535,811.792561,-136.434006,308.373269,112.414671,154.693531,332.022156,119.132341,115.356912,295.350487,94.132676,-97.364590,289.882543,85.873248,-171.386896,394.450752,92.013662,-135.067918,516.732382,819.659038,120.299290,554.387354,823.412447,-5.195986,508.059428,872.949066,-239.667044,218.596278,76.213161,245.867428,216.187160,77.542510,-239.731974,544.518003,82.660319,245.559655,543.035620,83.433975,-94.914850,550.156173,928.547461,64.758688,557.683834,927.344963,3.917139,427.105083,831.015372,186.795693,405.465481,89.973570,,,,,,
21,-116.800587,267.296136,381.505208,134.821636,278.810476,376.885305,120.068721,292.636875,641.917837,-100.544112,283.120341,661.676401,22.712801,235.709772,710.373581,67.810596,270.824778,736.305705,-64.105297,302.464477,741.180679,8.853316,389.441027,811.021724,-136.415614,307.922420,112.241467,154.746263,331.439337,119.103800,115.320864,294.941056,93.938981,-97.310877,289.535638,85.482838,-171.357009,393.990914,92.137819,-135.159665,517.193999,818.034286,120.286802,554.761577,821.615095,-5.406371,508.805022,871.570037,-239.708374,218.313562,75.714107,245.884183,215.891944,77.026424,-239.786164,544.227645,83.178461,245.647703,542.612456,84.037144,-95.074460,551.340888,926.855085,64.730667,558.451882,925.719371,3.874687,427.720602,829.999753,186.793377,405.198108,90.095933,,,,,,
22,-116.708551,266.856001,381.393385,134.369578,279.507350,376.702501,120.050079,292.167988,641.848757,-100.621096,282.582801,661.423334,22.630630,235.398560,710.473191,67.726492,270.716922,736.256420,-64.185977,302.501179,740.883413,8.798598,389.736565,810.344334,-136.422897,307.820886,112.183819,154.746406,331.375872,119.086561,115.286430,294.830824,93.944808,-97.276439,289.417633,85.357150,-171.292643,393.861812,92.176050,-135.221336,517.597083,816.503586,120.257315,555.077365,819.931988,-5.548533,509.467116,870.200050,-239.707532,218.252877,75.599398,245.869584,215.858158,76.905148,-239.791660,544.126948,83.312799,245.672228,542.497317,84.186759,-95.197454,552.458678,925.177909,65.197101,558.260877,924.392024,3.809766,428.239174,829.043301,186.767031,405.176179,90.119095,,,,,,
