arthur-kne-13
Date:,2012/07/09
Time:,14:42:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:L5,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:RTOE,,,Patient1:C7,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:RBHD,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-17.377495,127.684555,597.879517,147.430435,244.403137,603.225403,90.684425,153.650940,657.202332,165.621201,228.426208,358.485840,-29.561390,96.095375,364.889191,141.192825,233.957687,657.675232,-6.545629,137.102844,677.723328,101.218445,147.630646,760.632996,103.684990,141.455215,831.843506,178.503403,216.104614,117.680885,-44.580841,85.653152,126.150917,151.317703,169.391037,94.203522,2.060768,86.985062,95.786674,-31.382660,120.931305,895.325073,159.229172,255.382446,904.679199,192.032043,286.251343,92.565277,87.784912,159.342651,927.158813,-122.514206,113.522552,101.650642,116.088509,144.367081,1002.423340,377.371155,128.406845,71.972404,-19.566595,-138.811600,74.192657,141.808563,238.773331,1028.747925,92.687614,554.803894,94.805191,-307.998749,286.444824,97.133820,13.528891,144.004517,1047.187744
12,-17.344984,127.633827,597.890442,147.399704,244.376709,603.257324,90.682892,153.625717,657.229980,165.609848,228.474991,358.520111,-29.540018,96.008644,364.878387,141.182327,233.938904,657.708679,-6.532792,137.095947,677.744873,101.193268,147.661972,760.680237,103.625710,141.523987,831.931396,178.494232,216.143921,117.655823,-44.535053,85.605560,126.124222,151.300751,169.400040,94.195221,2.028877,86.999840,95.767563,-31.472134,121.024864,895.344421,159.183975,255.479889,904.712708,192.044098,286.293243,92.588127,87.675507,159.458710,927.205872,-122.556244,113.593407,101.600784,115.944237,144.484253,1002.326538,377.329437,128.405701,71.961250,-19.590351,-138.807709,74.190155,141.765945,238.846161,1028.767700,92.680702,554.839600,94.685089,-308.127625,286.479858,97.010155,13.410285,144.116562,1047.209717
13,-17.332260,127.562218,597.903748,147.383499,244.350311,603.297302,90.673233,153.581619,657.263489,165.561020,228.556061,358.522034,-29.511379,95.945610,364.890228,141.203262,233.903595,657.768921,-6.511762,137.081390,677.774719,101.182610,147.670197,760.739441,103.558945,141.588943,831.999512,178.469528,216.186874,117.672234,-44.497581,85.569550,126.141106,151.254028,169.415695,94.226143,2.034657,87.024750,95.804451,-31.548538,121.119865,895.378967,159.101379,255.586563,904.746521,192.052704,286.328308,92.600311,87.591095,159.546295,927.260925,-122.584946,113.625381,101.587708,115.834412,144.589447,1002.243713,377.303741,128.416687,72.044868,-19.579113,-138.794983,74.283783,141.707657,238.935745,1028.793457,92.647377,554.889404,94.555344,-308.150757,286.515808,96.928093,13.382410,144.203415,1047.211792
14,-17.311428,127.510254,597.913818,147.421295,244.312454,603.337646,90.680992,153.547989,657.309204,165.512329,228.665817,358.514984,-29.459650,95.902435,364.899445,141.212143,233.867340,657.818542,-6.487751,137.041473,677.791687,101.142403,147.675751,760.811340,103.506386,141.642746,832.061707,178.451874,216.229828,117.703712,-44.487309,85.599648,126.121826,151.213470,169.448746,94.255112,2.021386,87.045181,95.824654,-31.611938,121.233498,895.414612,159.003952,255.686050,904.780457,192.004044,286.350006,92.571991,87.512123,159.623413,927.325134,-122.624832,113.655067,101.575294,115.742058,144.680634,1002.189636,377.285553,128.435898,72.136070,-19.570169,-138.783142,74.379158,141.642502,239.030380,1028.795654,92.636429,554.927246,94.421303,-308.189850,286.550507,96.851952,13.319924,144.286667,1047.213623
15,-17.282528,127.477959,597.920532,147.467911,244.266769,603.369385,90.688080,153.512909,657.346619,165.498962,228.759445,358.527649,-29.405169,95.866280,364.887939,141.188919,233.847443,657.846436,-6.519752,137.005005,677.811584,101.070778,147.676056,760.877197,103.472145,141.692368,832.114441,178.430878,216.280945,117.742020,-44.536827,85.636322,126.111671,151.210449,169.504974,94.286591,1.999385,87.063927,95.859322,-31.693569,121.344315,895.443298,158.906479,255.785233,904.810059,191.966934,286.403198,92.556038,87.407448,159.721115,927.374817,-122.611427,113.680237,101.561218,115.658806,144.760910,1002.137268,377.267120,128.472610,72.232971,-19.591854,-138.753311,74.461990,141.584198,239.116638,1028.790771,92.618965,554.956055,94.316422,-308.232635,286.576996,96.745071,13.237815,144.350082,1047.208984
16,-17.261744,127.426003,597.930603,147.458099,244.225449,603.405762,90.671188,153.459946,657.372742,165.476074,228.839081,358.539764,-29.399035,95.866997,364.884857,141.140366,233.837692,657.873962,-6.562458,136.968460,677.832886,101.032158,147.680267,760.934143,103.429604,141.745712,832.159180,178.393936,216.336182,117.753441,-44.609116,85.664513,126.138016,151.216858,169.551453,94.331314,1.982054,87.096153,95.909950,-31.784742,121.422440,895.495667,158.816452,255.869049,904.836731,191.982010,286.473083,92.567039,87.296982,159.828506,927.412048,-122.604424,113.682838,101.544350,115.569626,144.859039,1002.087830,377.251434,128.528488,72.335518,-19.604458,-138.702881,74.570168,141.550003,239.172256,1028.784424,92.566719,555.002563,94.202408,-308.239746,286.607269,96.615059,13.167647,144.414154,1047.204834
17,-17.249041,127.354362,597.943909,147.401123,244.199799,603.438477,90.655731,153.433319,657.395264,165.393326,228.952255,358.543060,-29.419174,95.898438,364.901581,141.099152,233.814209,657.918945,-6.550630,136.929642,677.859802,101.002472,147.700272,761.002014,103.369209,141.791702,832.214783,178.393845,216.375336,117.749802,-44.662689,85.722191,126.123833,151.194550,169.603745,94.378082,1.953416,87.128937,95.942131,-31.868853,121.484741,895.555725,158.735184,255.945206,904.874084,191.954361,286.535614,92.552467,87.199623,159.913528,927.455505,-122.639709,113.692383,101.529785,115.487663,144.964798,1002.049072,377.263611,128.587189,72.473175,-19.617411,-138.652649,74.692703,141.525085,239.211472,1028.774902,92.528442,555.053345,94.081757,-308.241333,286.648712,96.475304,13.105046,144.498718,1047.211548
18,-17.215734,127.302643,597.947510,147.351883,244.219254,603.462402,90.648247,153.447159,657.424011,165.310501,229.094284,358.551819,-29.426579,95.914444,364.912201,141.095322,233.781525,657.974854,-6.530962,136.916748,677.892700,100.969322,147.719009,761.066040,103.315941,141.813477,832.277283,178.394989,216.418488,117.777138,-44.698769,85.788498,126.091820,151.154587,169.655960,94.415833,1.905091,87.167511,95.973915,-31.955008,121.561172,895.601624,158.670761,256.025726,904.899414,191.868683,286.595825,92.538048,87.121048,159.964188,927.506042,-122.686058,113.725761,101.514587,115.392029,145.056015,1002.014709,377.256805,128.619293,72.637268,-19.638855,-138.621979,74.807716,141.461044,239.283112,1028.775146,92.531136,555.099609,93.959854,-308.281738,286.668488,96.343491,13.038068,144.603104,1047.228394
19,-17.188787,127.286751,597.944458,147.316498,244.269531,603.484070,90.621254,153.450348,657.452454,165.266495,229.220825,358.572388,-29.440334,95.923103,364.918518,141.069412,233.764679,658.020386,-6.541926,136.907608,677.916809,100.962830,147.720184,761.110352,103.285530,141.810822,832.328491,178.346832,216.476685,117.821533,-44.733948,85.842529,126.104874,151.116226,169.704193,94.458954,1.864641,87.220909,96.004219,-32.030762,121.638771,895.637451,158.621948,256.075745,904.918823,191.829895,286.645782,92.564392,87.058746,160.003693,927.558533,-122.712410,113.780571,101.486755,115.292091,145.133926,1001.969849,377.207672,128.658997,72.768913,-19.648308,-138.585297,74.942101,141.364670,239.380203,1028.785767,92.529816,555.149536,93.801437,-308.336914,286.690552,96.202888,12.975481,144.687653,1047.235107
20,-17.201275,127.286484,597.950867,147.298065,244.296677,603.506104,90.589211,153.432587,657.476624,165.209824,229.351303,358.584656,-29.484798,95.964600,364.929932,140.998276,233.772278,658.061523,-6.552459,136.889084,677.947998,100.955894,147.714996,761.142822,103.234367,141.805557,832.369568,178.301773,216.557999,117.839760,-44.758759,85.940834,126.108734,151.085205,169.774460,94.520660,1.835904,87.272873,96.024124,-32.100578,121.740410,895.642456,158.557922,256.091431,904.953247,191.848953,286.697083,92.596413,86.993927,160.067657,927.596985,-122.734367,113.848366,101.447769,115.202637,145.212418,1001.913513,377.172943,128.710419,72.880600,-19.672832,-138.537231,75.101196,141.289780,239.461060,1028.794800,92.460175,555.201904,93.622765,-308.392517,286.765167,96.044884,12.905337,144.751724,1047.231079
