angelina-ank-02
Date:,2012/07/12
Time:,14:58:52
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:LHEE,,,Patient1:RHEE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:BALAVG,,,Patient1:BALARG,,,Patient1:BHD,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,122.354698,-76.653107,646.790100,218.799133,-33.040344,616.941101,7.423992,-11.592580,612.898132,229.258423,-27.284840,351.970825,-1.433230,-25.386400,350.314514,186.593918,-54.090893,686.728333,40.646584,-52.410213,687.124634,114.483040,-72.653175,757.118042,113.462135,-82.941757,823.708252,248.432785,-49.202480,126.483788,-22.344250,-43.754311,118.423859,14.280352,-70.784958,93.649971,212.690475,-74.882957,93.716354,231.934784,-10.131199,896.910278,121.429955,-65.651489,917.572144,-7.496179,-3.617823,900.604004,290.832184,18.555765,97.501862,-65.367317,22.917538,91.312172,350.332184,-164.169662,86.325844,-135.637146,-164.736145,83.692314,120.485016,-70.938225,984.663208,356.813751,164.126465,88.563072,-136.437759,162.503876,86.885910,201.820389,-17.193266,1009.361816,43.756718,-10.484005,1026.685913
12,122.328979,-76.606873,646.859558,218.847733,-33.077248,616.979858,7.436119,-11.502723,612.896240,229.250641,-27.322309,351.962769,-1.365229,-25.455921,350.308380,186.593613,-54.072571,686.783142,40.684574,-52.336483,687.150696,114.491104,-72.581444,757.140686,113.523079,-82.890968,823.743408,248.408539,-49.217381,126.481201,-22.357828,-43.780800,118.441132,14.282128,-70.795998,93.634888,212.713791,-74.913635,93.705841,231.939606,-10.028162,896.978821,121.344757,-65.529457,917.625305,-7.522554,-3.483195,900.560425,290.840546,18.564461,97.464867,-65.337723,22.929413,91.323853,350.353638,-164.178421,86.305359,-135.670410,-164.754166,83.665581,120.426506,-70.858353,984.690247,356.805511,164.138046,88.598137,-136.380844,162.467224,86.901283,201.841202,-17.157446,1009.364868,43.718960,-10.309485,1026.716431
13,122.391922,-76.643555,646.935242,218.903290,-33.095291,617.013306,7.457302,-11.413555,612.911560,229.328781,-27.421240,351.997925,-1.327088,-25.456875,350.295074,186.604034,-54.079472,686.842712,40.790787,-52.339394,687.177063,114.497421,-72.481636,757.158081,113.545387,-82.817886,823.782104,248.424393,-49.234531,126.471214,-22.340998,-43.820419,118.459167,14.274256,-70.809425,93.629898,212.706528,-74.895996,93.707512,231.909332,-9.879691,897.044434,121.273689,-65.398178,917.632507,-7.496983,-3.373755,900.549744,290.853394,18.551519,97.442360,-65.451797,22.930666,91.350479,350.355377,-164.182617,86.284752,-135.687943,-164.757370,83.661438,120.419853,-70.804855,984.693237,356.789063,164.141342,88.611023,-136.421722,162.468170,86.891869,201.873154,-17.130211,1009.383667,43.699753,-10.192047,1026.740723
14,122.446602,-76.659157,646.991943,218.962936,-33.139320,617.054260,7.494241,-11.346925,612.929199,229.357193,-27.504385,352.006226,-1.321208,-25.459024,350.290314,186.649811,-54.075008,686.892029,40.830177,-52.295395,687.205627,114.470467,-72.345436,757.200928,113.483788,-82.678223,823.794678,248.389496,-49.227505,126.458344,-22.320843,-43.809010,118.464897,14.282888,-70.831879,93.630455,212.672211,-74.866722,93.732285,231.886673,-9.756983,897.085754,121.285446,-65.296806,917.636414,-7.410273,-3.364600,900.596375,290.866211,18.507492,97.436058,-65.659904,22.915838,91.409531,350.351410,-164.179138,86.261986,-135.668076,-164.775208,83.665276,120.423950,-70.729324,984.720947,356.773193,164.123169,88.632774,-136.470200,162.474838,86.888519,201.882828,-17.093849,1009.428406,43.668911,-10.035615,1026.738892
15,122.426903,-76.594246,647.037903,218.998611,-33.201626,617.100220,7.483263,-11.238171,612.932373,229.308441,-27.519310,351.959930,-1.316987,-25.488241,350.295258,186.684937,-54.060432,686.914856,40.802914,-52.154007,687.255798,114.487122,-72.274216,757.259216,113.380310,-82.484657,823.801086,248.345978,-49.239788,126.447510,-22.374487,-43.776409,118.499535,14.295871,-70.857262,93.630867,212.661484,-74.878151,93.730194,231.894409,-9.679307,897.104553,121.501160,-65.021622,917.697937,-7.379749,-3.302518,900.632629,290.871185,18.485102,97.442566,-65.751305,22.899136,91.456367,350.362244,-164.188217,86.240288,-135.599213,-164.811813,83.636719,120.408318,-70.619202,984.772583,356.765015,164.122452,88.646759,-136.435455,162.459946,86.916481,201.899002,-17.063511,1009.468628,43.640865,-9.818994,1026.733032
16,122.410400,-76.556168,647.102173,219.036591,-33.255806,617.137085,7.496829,-11.129987,612.940063,229.290146,-27.556913,351.949554,-1.286058,-25.519735,350.298431,186.697311,-54.056213,686.947144,40.812683,-52.034821,687.308472,114.503387,-72.217743,757.286072,113.351494,-82.351280,823.815857,248.355011,-49.273994,126.412415,-22.432882,-43.753853,118.525826,14.301824,-70.867119,93.627625,212.698837,-74.935616,93.697792,231.921829,-9.621175,897.125244,121.861298,-64.643181,917.777527,-7.395747,-3.147541,900.634338,290.865723,18.474529,97.445969,-65.705841,22.939064,91.458168,350.369690,-164.197495,86.232452,-135.593155,-164.804962,83.616676,120.413101,-70.533569,984.810364,356.775360,164.114563,88.651932,-136.413437,162.419357,86.950668,201.930908,-17.033691,1009.509094,43.645267,-9.658004,1026.737427
17,122.424332,-76.556320,647.169373,219.080093,-33.305168,617.163696,7.586460,-11.102707,612.954773,229.312637,-27.606939,351.966339,-1.228415,-25.553545,350.299927,186.723892,-54.061718,686.990723,40.851700,-51.961605,687.342957,114.513527,-72.134865,757.303345,113.384872,-82.279953,823.831909,248.372208,-49.279305,126.382652,-22.352795,-43.785046,118.510345,14.315557,-70.867340,93.617325,212.691986,-74.965912,93.687515,231.968506,-9.556691,897.141296,121.939812,-64.647766,917.772705,-7.329968,-3.037159,900.638367,290.859833,18.493324,97.421410,-65.635406,22.961300,91.441269,350.381836,-164.193710,86.231636,-135.630829,-164.785217,83.629448,120.463387,-70.485245,984.838135,356.765076,164.091660,88.668221,-136.468399,162.413101,86.962952,201.953506,-16.982513,1009.550354,43.672844,-9.550172,1026.737915
18,122.456314,-76.566086,647.210999,219.120880,-33.364403,617.190918,7.667497,-11.104817,612.955688,229.350525,-27.635681,351.967560,-1.191715,-25.571857,350.300537,186.763931,-54.062813,687.013977,40.882359,-51.885300,687.373291,114.549438,-72.071732,757.338806,113.419205,-82.217766,823.858887,248.384140,-49.275509,126.386406,-22.388353,-43.797825,118.507225,14.320835,-70.868515,93.621811,212.645996,-74.921768,93.696808,232.028412,-9.488461,897.140869,121.793556,-64.883507,917.733154,-7.195676,-2.997745,900.663635,290.858002,18.522314,97.403107,-65.653816,22.903017,91.457466,350.393585,-164.199753,86.227745,-135.631470,-164.779175,83.628639,120.534874,-70.431015,984.873718,356.734772,164.079529,88.675430,-136.499115,162.431519,86.966972,201.992371,-16.907007,1009.577881,43.688496,-9.457073,1026.741821
19,122.463303,-76.563828,647.245239,219.176682,-33.421185,617.212402,7.694544,-11.053387,612.946838,229.383606,-27.655235,351.967010,-1.204080,-25.555325,350.318390,186.791748,-54.062424,687.023865,40.908192,-51.820267,687.414368,114.512939,-71.972221,757.348572,113.455399,-82.164635,823.883667,248.378876,-49.252213,126.377693,-22.525480,-43.765408,118.495972,14.310294,-70.867744,93.626862,212.636124,-74.881683,93.708611,232.083054,-9.462308,897.146545,121.773811,-64.923988,917.738098,-7.116846,-2.884613,900.697693,290.853912,18.512119,97.396851,-65.699821,22.863045,91.477951,350.381012,-164.213379,86.225487,-135.629227,-164.775558,83.597725,120.546494,-70.322769,984.898499,356.749939,164.083618,88.678833,-136.489258,162.431915,86.971199,202.050735,-16.822001,1009.601685,43.708313,-9.388975,1026.754028
20,122.509384,-76.575790,647.289978,219.236420,-33.468369,617.225830,7.738842,-11.016615,612.919128,229.419128,-27.660824,351.963043,-1.203645,-25.548309,350.340363,186.815582,-54.060200,687.045166,40.950016,-51.764549,687.440125,114.495689,-71.898918,757.347778,113.497200,-82.106613,823.886902,248.369400,-49.212006,126.369728,-22.497677,-43.785339,118.462120,14.308207,-70.866020,93.617119,212.648849,-74.889748,93.712379,232.138229,-9.450198,897.161133,121.988045,-64.628532,917.777161,-7.088618,-2.693651,900.716614,290.854401,18.511368,97.388870,-65.669701,22.874960,91.467354,350.364471,-164.216141,86.219398,-135.623199,-164.804581,83.575172,120.570343,-70.219269,984.909668,356.776947,164.097595,88.692017,-136.484360,162.431595,86.979889,202.097015,-16.725986,1009.629517,43.752674,-9.332531,1026.758423
